 ,Value
1,3406.167
2,3402.365
3,3446.180
4,3411.251
5,3420.851
6,3431.112
7,3410.696
8,3388.441
9,3474.221
10,3442.856
11,3417.290
12,3422.140
13,3430.335
14,3422.466
15,3434.114
16,3419.679
17,3383.629
18,3425.755
19,3430.575
20,3462.579
21,3502.492
22,3485.472
23,3481.159
24,3544.608
25,3508.594
26,3439.870
27,3408.878
28,3459.435
29,3496.753
30,3496.878
31,3487.395
32,3463.465
33,3426.475
34,3440.659
35,3390.829
36,3361.319
37,3413.306
38,3430.078
39,3422.457
40,3432.708
41,3424.240
42,3431.095
43,3401.030
44,3393.261
45,3381.777
46,3419.049
47,3423.504
48,3385.541
49,3374.461
50,3358.416
51,3398.108
52,3406.606
53,3373.271
54,3367.950
55,3369.170
56,3420.985
57,3411.341
58,3413.247
59,3434.081
60,3430.860
61,3418.911
62,3438.411
63,3407.128
64,3411.469
65,3424.313
66,3403.591
67,3447.598
68,3436.984
69,3380.614
70,3384.277
71,3402.791
72,3402.027
73,3425.981
74,3439.398
75,3453.004
76,3417.873
77,3402.175
78,3374.318
79,3363.836
80,3363.234
81,3373.885
82,3363.228
83,3352.679
84,3376.984
85,3390.722
86,3364.687
87,3366.778
88,3401.131
89,3416.016
90,3371.289
91,3394.690
92,3372.273
93,3401.701
94,3424.139
95,3378.254
96,3370.713
97,3381.479
98,3401.940
99,3399.886
100,3377.895
101,3368.626
