X	Y
310.500	637.500
311.175	638.238
311.850	638.977
312.526	639.715
313.202	640.453
313.878	641.190
314.554	641.927
315.232	642.664
315.909	643.400
316.588	644.135
317.267	644.870
317.948	645.603
318.629	646.336
319.312	647.067
319.995	647.798
320.681	648.527
321.367	649.255
322.055	649.981
322.745	650.706
323.436	651.429
324.130	652.151
324.825	652.870
325.522	653.588
326.222	654.303
326.923	655.016
327.628	655.727
328.334	656.436
329.043	657.141
329.755	657.844
330.470	658.544
331.188	659.242
331.909	659.935
332.633	660.626
333.360	661.313
334.091	661.996
334.826	662.675
335.564	663.350
336.307	664.021
337.055	664.686
337.807	665.346
338.563	666.000
339.325	666.649
340.092	667.292
340.864	667.928
341.641	668.558
342.424	669.181
343.212	669.798
344.006	670.407
344.806	671.008
345.611	671.601
346.423	672.187
347.240	672.765
348.062	673.334
348.891	673.895
349.725	674.448
350.565	674.992
351.410	675.527
352.261	676.053
353.117	676.570
353.979	677.079
354.846	677.579
355.718	678.069
356.595	678.551
357.476	679.024
358.363	679.488
359.253	679.945
360.147	680.393
361.046	680.834
361.947	681.268
362.852	681.695
363.760	682.116
364.670	682.531
365.583	682.940
366.499	683.343
367.417	683.740
368.338	684.133
369.260	684.521
370.184	684.904
371.110	685.283
372.038	685.657
372.968	686.027
373.898	686.394
374.831	686.757
375.764	687.117
376.699	687.474
377.635	687.827
378.572	688.178
379.510	688.526
380.450	688.871
381.389	689.214
382.330	689.555
383.272	689.894
384.214	690.230
385.156	690.565
386.100	690.899
387.044	691.231
387.988	691.562
388.933	691.891
389.878	692.220
390.823	692.547
391.769	692.874
392.715	693.200
393.661	693.525
394.607	693.850
395.554	694.175
396.500	694.500
