 ,Value,
1,3956.955,
2,3940.399,
3,3881.009,
4,3863.344,
5,3809.526,
6,3737.341,
7,3668.631,
8,3677.924,
9,3682.620,
10,3665.300,
11,3648.881,
12,3665.798,
13,3588.992,
14,3587.703,
15,3638.566,
16,3672.049,
17,3701.336,
18,3692.401,
19,3737.361,
20,3902.091,
21,3886.195,
22,3827.852,
23,3727.250,
24,3777.097,
25,3763.642,
26,3893.641,
27,3921.577,
28,3992.318,
29,3911.414,
30,4010.816,
31,3900.398,
32,3870.886,
33,3814.972,
34,3820.539,
35,3785.859,
36,3734.354,
37,3834.406,
38,3813.522,
39,3985.478,
40,3862.814,
41,3826.943,
42,3707.611,
43,3788.479,
44,3808.129,
45,3799.347,
46,3888.200,
47,3898.930,
48,3856.278,
49,3786.675,
50,3718.800,
51,3724.676,
52,3735.921,
53,3795.907,
54,3912.203,
55,3954.394,
56,3877.641,
57,3889.248,
58,3823.266,
59,3767.120,
60,3718.203,
61,3745.243,
62,3729.699,
63,3803.604,
64,3883.815,
65,4031.024,
66,4242.043,
67,4074.529,
68,3901.739,
69,3863.186,
70,3804.525,
71,3789.703,
72,3699.962,
73,3743.364,
74,3821.361,
75,3944.501,
76,3943.571,
77,3813.881,
78,3788.282,
79,3675.698,
80,3686.639,
81,3753.556,
82,3621.332,
83,3637.958,
84,3546.799,
85,3612.544,
86,3535.531,
87,3526.563,
88,3575.745,
89,3561.745,
90,3632.435,
91,3593.115,
92,3582.293,
93,3591.492,
94,3551.880,
95,3601.665,
96,3651.902,
97,3683.372,
98,3690.423,
99,3652.062,
100,3572.200,
101,3584.192,
102,3630.571,
103,3667.657,
104,3617.091,
105,3597.975,
106,3587.970,
107,3571.667,
108,3617.130,
109,3542.500,
110,3588.666,
111,3657.876,
112,3618.832,
113,3536.274,
114,3650.691,
115,3619.885,
116,3558.229,
117,3500.311,
118,3589.650,
119,3623.925,
120,3671.159,
121,3598.426,
122,3599.845,
123,3627.862,
124,3570.899,
125,3590.217,
126,3663.222,
127,3687.112,
128,3683.944,
129,3617.857,
130,3717.017,
131,3687.035,
132,3649.860,
133,3686.836,
134,3717.610,
135,3641.667,
136,3619.484,
137,3641.014,
138,3605.195,
139,3647.143,
140,3653.122,
141,3598.997,
142,3598.825,
143,3588.783,
144,3628.690,
