 ,Value,
1,3949.760,
2,3878.551,
3,3800.341,
4,3754.730,
5,3625.600,
6,3680.736,
7,3651.806,
8,3743.443,
9,3673.946,
10,3617.009,
11,3685.232,
12,3588.353,
13,3602.505,
14,3579.521,
15,3692.711,
16,3543.027,
17,3606.418,
18,3554.864,
19,3568.879,
20,3688.144,
21,3676.998,
22,3623.419,
23,3615.193,
24,3693.517,
25,3740.191,
26,3744.707,
27,3706.709,
28,3646.893,
29,3675.973,
30,3672.649,
31,3712.657,
32,3679.748,
33,3685.999,
34,3765.241,
35,3773.512,
36,3844.386,
37,3928.428,
38,3840.973,
39,3876.521,
40,3945.466,
41,3884.807,
42,3777.177,
43,3943.956,
44,3932.168,
45,3921.892,
46,3713.425,
47,3706.866,
48,3797.931,
49,3729.309,
50,3723.037,
51,3827.377,
52,3908.419,
53,3879.782,
54,3941.707,
55,3755.987,
56,3772.176,
57,3713.288,
58,3685.723,
59,3694.272,
60,3759.159,
61,3789.227,
62,3982.849,
63,4103.378,
64,4262.253,
65,4419.875,
66,4312.263,
67,4199.424,
68,4107.602,
69,3946.059,
70,3779.516,
71,3913.635,
72,3791.310,
73,3750.008,
74,3651.850,
75,3722.508,
76,3708.280,
77,3672.147,
78,3715.833,
79,3724.415,
80,3604.257,
81,3643.856,
82,3687.285,
83,3599.999,
84,3595.794,
85,3719.652,
86,3814.696,
87,3957.774,
88,3927.786,
89,3895.465,
90,3933.769,
91,3982.336,
92,3937.684,
93,3788.983,
94,3705.669,
95,3727.028,
96,3652.920,
97,3695.427,
98,3754.639,
99,3723.833,
100,3694.658,
101,3725.406,
102,3688.917,
103,3725.493,
104,3796.956,
105,3707.190,
106,3684.362,
107,3652.089,
108,3659.715,
109,3677.735,
110,3673.745,
111,3643.265,
112,3669.545,
113,3696.914,
114,3729.348,
115,3763.586,
116,3722.348,
117,3791.530,
118,3827.029,
119,3921.635,
120,3809.329,
121,3697.404,
122,3768.254,
123,3645.052,
124,3654.082,
125,3623.652,
126,3595.411,
127,3571.740,
128,3678.768,
129,3613.785,
130,3661.120,
131,3674.856,
132,3611.620,
133,3575.173,
134,3660.018,
135,3599.659,
136,3582.925,
137,3658.610,
138,3696.326,
139,3733.634,
140,3796.010,
141,3793.301,
142,3700.262,
143,3668.479,
144,3653.918,
145,3658.763,
146,3589.326,
147,3671.818,
