 ,Value,
1,3729.264,
2,3793.414,
3,3757.509,
4,3675.623,
5,3714.854,
6,3623.862,
7,3644.233,
8,3668.009,
9,3631.739,
10,3606.777,
11,3675.785,
12,3633.183,
13,3673.608,
14,3649.514,
15,3691.426,
16,3675.610,
17,3634.399,
18,3650.490,
19,3613.286,
20,3610.485,
21,3614.632,
22,3585.602,
23,3568.899,
24,3580.485,
25,3541.466,
26,3521.577,
27,3540.583,
28,3588.009,
29,3553.000,
30,3587.109,
31,3637.139,
32,3615.471,
33,3635.562,
34,3644.042,
35,3678.648,
36,3758.481,
37,3673.210,
38,3669.599,
39,3648.260,
40,3708.746,
41,3615.192,
42,3573.127,
43,3605.487,
44,3686.638,
45,3567.639,
46,3610.277,
47,3667.570,
48,3669.938,
49,3624.792,
50,3656.330,
51,3656.827,
52,3635.245,
53,3589.659,
54,3624.438,
55,3669.659,
56,3682.292,
57,3679.963,
58,3731.289,
59,3735.262,
60,3735.234,
61,3807.004,
62,3685.949,
63,3736.002,
64,3672.374,
65,3743.192,
66,3711.042,
67,3707.098,
68,3704.145,
69,3730.574,
70,3738.041,
71,3762.249,
72,3681.423,
73,3577.474,
74,3585.073,
75,3615.722,
76,3571.716,
77,3537.403,
78,3538.179,
79,3549.820,
80,3529.107,
81,3513.189,
82,3531.106,
83,3548.513,
84,3553.314,
85,3505.121,
86,3462.604,
87,3534.427,
88,3571.769,
89,3525.523,
90,3593.795,
91,3696.227,
92,3710.143,
93,3816.765,
94,3798.005,
95,3786.660,
96,3704.451,
97,3693.953,
98,3668.455,
99,3615.419,
100,3593.553,
101,3553.620,
102,3545.328,
103,3645.570,
104,3709.738,
105,3690.039,
106,3760.328,
107,3671.626,
108,3645.134,
109,3744.793,
110,3678.497,
111,3615.240,
112,3763.008,
113,3765.139,
114,3797.732,
115,3780.360,
116,3751.369,
117,3786.097,
118,3668.880,
119,3616.283,
120,3638.779,
121,3706.947,
122,3696.718,
123,3705.988,
124,3621.506,
125,3652.360,
126,3623.565,
127,3609.883,
128,3610.530,
129,3631.716,
130,3587.483,
131,3611.806,
132,3643.677,
133,3665.424,
134,3718.812,
135,3768.791,
136,3718.871,
137,3584.464,
138,3517.286,
139,3541.288,
140,3569.195,
141,3521.334,
142,3417.427,
143,3528.015,
144,3523.843,
145,3516.041,
146,3538.990,
147,3543.728,
148,3655.398,
149,3586.109,
150,3684.186,
151,3586.192,
152,3529.989,
153,3555.550,
154,3581.607,
