 ,Value,
1,3718.877,
2,3781.688,
3,3863.734,
4,3934.518,
5,4005.479,
6,4023.422,
7,3819.457,
8,3821.672,
9,3809.554,
10,3726.116,
11,3747.403,
12,3657.498,
13,3595.313,
14,3594.103,
15,3642.329,
16,3628.376,
17,3735.691,
18,3642.694,
19,3671.782,
20,3718.768,
21,3652.901,
22,3688.588,
23,3814.337,
24,3839.808,
25,3867.337,
26,3868.103,
27,3790.779,
28,3856.240,
29,3860.489,
30,3847.834,
31,3897.089,
32,3860.325,
33,3864.263,
34,3926.148,
35,3778.778,
36,3803.841,
37,3811.598,
38,3697.356,
39,3773.537,
40,3842.098,
41,3924.560,
42,3791.997,
43,3892.228,
44,3998.963,
45,4024.655,
46,3943.961,
47,3977.760,
48,3835.389,
49,3819.071,
50,3669.576,
51,3644.903,
52,3710.441,
53,3764.683,
54,3787.007,
55,3889.492,
56,3916.328,
57,3850.694,
58,3852.240,
59,3796.063,
60,3796.795,
61,3758.808,
62,3782.268,
63,3864.869,
64,3911.623,
65,3998.483,
66,4176.677,
67,4220.321,
68,4134.118,
69,4032.258,
70,3887.980,
71,3802.183,
72,3803.995,
73,3829.420,
74,3889.050,
75,3908.780,
76,3941.637,
77,4126.362,
78,4084.571,
79,3978.707,
80,3738.797,
81,3728.477,
82,3697.624,
83,3626.866,
84,3646.951,
85,3609.470,
86,3574.793,
87,3585.133,
88,3543.848,
89,3541.653,
90,3569.008,
91,3565.765,
92,3566.820,
93,3546.813,
94,3626.160,
95,3712.927,
96,3691.620,
97,3649.907,
98,3657.049,
99,3710.598,
100,3713.007,
101,3641.140,
102,3728.597,
103,3761.750,
104,3719.611,
105,3764.529,
106,3712.254,
107,3634.159,
108,3720.533,
109,3638.602,
110,3591.611,
111,3544.138,
112,3604.347,
113,3666.967,
114,3664.783,
115,3591.253,
116,3521.431,
117,3563.013,
118,3594.040,
119,3571.730,
120,3605.427,
121,3661.119,
122,3662.970,
123,3594.466,
124,3632.130,
125,3597.182,
126,3604.973,
127,3590.505,
128,3644.408,
129,3630.592,
130,3537.800,
131,3557.909,
132,3581.478,
133,3571.199,
134,3644.515,
135,3657.350,
136,3552.451,
137,3555.605,
138,3557.257,
139,3650.001,
140,3626.395,
141,3633.018,
142,3634.110,
143,3618.360,
144,3670.328,
145,3699.463,
146,3620.430,
147,3626.266,
148,3581.484,
149,3628.819,
150,3699.919,
