X	Y	
160.167	495.167	
160.004	494.179	
159.841	493.192	
159.678	492.204	
159.514	491.217	
159.350	490.230	
159.184	489.243	
159.017	488.256	
158.849	487.270	
158.679	486.283	
158.507	485.297	
158.333	484.312	
158.157	483.327	
157.978	482.342	
157.797	481.358	
157.612	480.374	
157.423	479.391	
157.231	478.409	
157.036	477.428	
156.835	476.447	
156.630	475.467	
156.420	474.489	
156.205	473.512	
155.983	472.536	
155.756	471.561	
155.521	470.588	
155.280	469.617	
155.032	468.647	
154.777	467.680	
154.516	466.713	
154.251	465.748	
153.982	464.784	
153.709	463.822	
153.433	462.859	
153.156	461.898	
152.878	460.936	
152.600	459.975	
152.323	459.013	
152.046	458.051	
151.772	457.089	
151.501	456.126	
151.232	455.162	
150.968	454.196	
150.707	453.230	
150.450	452.263	
150.198	451.294	
149.951	450.325	
149.709	449.354	
149.471	448.381	
149.239	447.408	
149.012	446.433	
148.790	445.457	
148.574	444.480	
148.362	443.502	
148.155	442.523	
147.953	441.543	
147.757	440.561	
147.565	439.579	
147.379	438.596	
147.198	437.611	
147.022	436.626	
146.852	435.640	
146.686	434.653	
146.526	433.665	
146.372	432.676	
146.222	431.687	
146.079	430.696	
145.941	429.705	
145.808	428.713	
145.682	427.720	
145.561	426.727	
145.446	425.733	
145.337	424.738	
145.234	423.742	
145.137	422.746	
145.047	421.749	
144.963	420.752	
144.885	419.754	
144.814	418.756	
144.749	417.757	
144.692	416.758	
144.641	415.759	
144.598	414.759	
144.561	413.759	
144.532	412.758	
144.511	411.758	
144.497	410.757	
144.491	409.756	
144.493	408.756	
144.502	407.755	
144.520	406.754	
144.547	405.754	
144.582	404.754	
144.626	403.754	
144.680	402.754	
144.742	401.756	
144.813	400.757	
144.895	399.760	
144.986	398.763	
145.086	397.767	
145.196	396.773	
145.314	395.779	
145.441	394.786	
145.578	393.795	
145.722	392.805	
145.875	391.815	
146.037	390.828	
146.206	389.841	
146.383	388.856	
146.567	387.873	
146.760	386.891	
146.959	385.910	
147.165	384.931	
147.379	383.953	
147.599	382.976	
147.825	382.002	
148.058	381.028	
148.297	380.056	
148.542	379.086	
148.792	378.117	
149.049	377.150	
149.310	376.184	
149.577	375.219	
149.849	374.256	
150.125	373.294	
150.407	372.334	
150.693	371.375	
150.983	370.417	
151.277	369.460	
151.576	368.505	
151.878	367.551	
152.184	366.598	
152.493	365.646	
152.805	364.695	
153.121	363.746	
153.439	362.797	
153.761	361.849	
154.085	360.902	
154.411	359.956	
154.740	359.011	
155.071	358.067	
155.404	357.123	
155.739	356.180	
156.076	355.237	
156.414	354.295	
156.753	353.354	
157.094	352.413	
157.436	351.472	
157.778	350.532	
158.122	349.592	
158.466	348.652	
158.810	347.712	
159.155	346.773	
159.500	345.833	
