 ,Value,
1,3771.087,
2,3752.836,
3,3861.491,
4,3929.896,
5,3991.449,
6,3936.290,
7,3810.734,
8,3724.340,
9,3622.579,
10,3673.831,
11,3683.363,
12,3756.999,
13,3785.203,
14,3652.274,
15,3598.061,
16,3631.063,
17,3624.715,
18,3602.367,
19,3566.187,
20,3574.084,
21,3593.627,
22,3634.076,
23,3659.528,
24,3638.772,
25,3666.861,
26,3652.321,
27,3698.598,
28,3692.675,
29,3740.750,
30,3703.347,
31,3722.895,
32,3619.149,
33,3594.039,
34,3655.493,
35,3580.194,
36,3548.835,
37,3651.424,
38,3626.702,
39,3740.748,
40,3863.337,
41,3878.194,
42,3903.800,
43,3861.517,
44,3914.036,
45,3802.359,
46,3854.111,
47,3743.471,
48,3766.431,
49,3710.398,
50,3809.446,
51,3756.850,
52,3816.984,
53,3744.064,
54,3684.428,
55,3634.531,
56,3713.883,
57,3676.336,
58,3680.409,
59,3634.517,
60,3558.410,
61,3554.676,
62,3575.726,
63,3674.796,
64,3778.287,
65,3905.602,
66,4011.931,
67,4145.183,
68,4340.579,
69,4335.372,
70,4380.325,
71,4336.143,
72,4359.674,
73,4160.157,
74,3961.610,
75,3882.315,
76,3874.116,
77,3843.409,
78,3762.054,
79,3742.714,
80,3773.926,
81,3755.896,
82,3644.136,
83,3665.261,
84,3703.136,
85,3698.523,
86,3659.219,
87,3652.314,
88,3684.035,
89,3699.810,
90,3783.150,
91,3815.872,
92,3987.908,
93,4072.456,
94,3930.604,
95,3961.705,
96,3945.083,
97,3905.024,
98,3816.078,
99,3828.742,
100,3749.599,
101,3700.060,
102,3741.182,
103,3814.240,
104,3765.986,
105,3755.770,
106,3697.545,
107,3762.865,
108,3732.672,
109,3829.387,
110,3719.820,
111,3684.833,
112,3687.605,
113,3726.712,
114,3712.790,
115,3726.744,
116,3646.557,
117,3673.723,
118,3684.219,
119,3713.394,
120,3748.011,
121,3668.251,
122,3782.148,
123,3770.208,
124,3823.121,
125,3739.367,
126,3746.351,
127,3674.185,
128,3748.144,
129,3707.793,
130,3712.048,
131,3642.161,
132,3615.393,
133,3654.422,
134,3598.096,
135,3637.172,
136,3647.434,
137,3681.906,
138,3535.219,
139,3629.437,
140,3672.115,
141,3716.140,
142,3762.095,
143,3840.891,
144,3796.752,
145,3731.569,
146,3673.579,
147,3631.340,
148,3663.670,
149,3751.528,
150,3709.760,
151,3682.460,
152,3627.186,
153,3598.574,
154,3640.276,
155,3662.146,
