 ,Value,
1,3706.559,
2,3767.073,
3,3883.869,
4,4036.524,
5,4027.720,
6,3900.404,
7,3829.940,
8,3779.655,
9,3738.159,
10,3724.961,
11,3650.522,
12,3641.899,
13,3556.569,
14,3602.853,
15,3614.497,
16,3606.853,
17,3647.368,
18,3679.390,
19,3651.285,
20,3712.835,
21,3718.725,
22,3727.474,
23,3741.934,
24,3863.450,
25,3849.479,
26,3792.469,
27,3749.273,
28,3724.016,
29,3903.719,
30,3892.443,
31,3872.619,
32,3994.933,
33,3904.039,
34,3895.423,
35,3834.202,
36,3871.041,
37,3771.163,
38,3769.479,
39,3777.203,
40,3807.609,
41,3713.155,
42,3885.653,
43,3811.894,
44,3864.313,
45,3844.618,
46,3905.001,
47,3978.761,
48,3996.913,
49,3816.676,
50,3694.560,
51,3676.533,
52,3610.054,
53,3694.951,
54,3740.778,
55,3802.560,
56,3842.161,
57,3875.966,
58,3866.201,
59,3732.025,
60,3783.997,
61,3820.830,
62,3837.594,
63,3815.992,
64,3781.598,
65,3871.136,
66,3870.475,
67,4060.745,
68,4145.341,
69,4137.702,
70,3948.802,
71,3951.123,
72,3772.132,
73,3821.340,
74,3805.480,
75,3766.428,
76,3848.778,
77,3866.404,
78,3920.335,
79,3921.633,
80,4007.590,
81,3916.103,
82,3849.341,
83,3727.878,
84,3683.751,
85,3682.486,
86,3644.903,
87,3625.501,
88,3615.859,
89,3608.470,
90,3697.835,
91,3637.395,
92,3605.213,
93,3688.010,
94,3595.544,
95,3620.828,
96,3631.701,
97,3703.122,
98,3738.840,
99,3703.374,
100,3623.852,
101,3679.276,
102,3748.111,
103,3716.119,
104,3662.265,
105,3679.434,
106,3630.868,
107,3658.299,
108,3623.355,
109,3594.059,
110,3606.999,
111,3618.232,
112,3623.935,
113,3613.575,
114,3652.221,
115,3672.358,
116,3610.222,
117,3679.116,
118,3670.516,
119,3624.698,
120,3613.429,
121,3580.332,
122,3619.361,
123,3595.685,
124,3578.269,
125,3539.846,
126,3654.258,
127,3611.031,
128,3585.105,
129,3573.352,
130,3714.648,
131,3606.875,
132,3637.452,
133,3634.614,
134,3696.521,
135,3598.711,
136,3695.670,
137,3685.993,
138,3629.480,
139,3681.129,
140,3607.529,
141,3675.154,
142,3593.673,
143,3635.076,
144,3613.920,
145,3635.527,
146,3673.703,
147,3701.376,
148,3621.540,
