 ,Value,
1,3674.562,
2,3668.101,
3,3741.062,
4,3795.515,
5,3857.307,
6,3978.751,
7,3915.525,
8,3868.660,
9,3722.071,
10,3694.587,
11,3677.170,
12,3614.829,
13,3676.394,
14,3666.067,
15,3661.625,
16,3662.635,
17,3547.563,
18,3514.930,
19,3607.353,
20,3655.108,
21,3595.232,
22,3506.204,
23,3501.910,
24,3521.592,
25,3555.769,
26,3649.757,
27,3595.762,
28,3620.617,
29,3582.980,
30,3584.355,
31,3647.967,
32,3598.223,
33,3621.379,
34,3627.015,
35,3703.665,
36,3679.040,
37,3584.114,
38,3712.895,
39,3675.059,
40,3695.590,
41,3668.027,
42,3725.041,
43,3768.475,
44,3729.076,
45,3682.395,
46,3772.103,
47,3735.077,
48,3780.104,
49,3694.281,
50,3646.668,
51,3629.432,
52,3654.718,
53,3627.441,
54,3597.597,
55,3649.635,
56,3606.557,
57,3692.596,
58,3724.631,
59,3807.489,
60,3755.258,
61,3665.843,
62,3752.897,
63,3735.771,
64,3708.736,
65,3704.194,
66,3798.022,
67,3904.700,
68,3963.355,
69,3972.413,
70,4013.293,
71,3936.097,
72,3891.882,
73,3758.587,
74,3822.935,
75,3921.462,
76,3936.769,
77,3838.692,
78,3789.691,
79,3674.065,
80,3669.462,
81,3712.929,
82,3621.706,
83,3587.080,
84,3657.474,
85,3616.043,
86,3522.384,
87,3665.156,
88,3669.052,
89,3620.554,
90,3637.613,
91,3684.661,
92,3742.654,
93,3763.186,
94,3832.681,
95,4017.255,
96,4178.433,
97,4021.348,
98,3926.263,
99,3805.406,
100,3801.320,
101,3632.634,
102,3700.997,
103,3651.598,
104,3624.204,
105,3687.919,
106,3693.557,
107,3664.362,
108,3737.880,
109,3754.996,
110,3678.497,
111,3640.628,
112,3597.327,
113,3656.053,
114,3696.001,
115,3649.885,
116,3607.485,
117,3591.921,
118,3627.376,
119,3717.458,
120,3569.069,
121,3641.755,
122,3652.966,
123,3681.384,
124,3723.055,
125,3738.374,
126,3728.817,
127,3774.809,
128,3706.417,
129,3618.382,
130,3647.826,
131,3602.898,
132,3598.787,
133,3599.792,
134,3623.039,
135,3654.843,
136,3706.373,
137,3664.868,
138,3733.914,
139,3716.545,
140,3628.104,
141,3677.797,
142,3618.977,
143,3597.752,
144,3558.925,
145,3658.849,
146,3638.256,
147,3685.283,
148,3764.201,
149,3736.413,
150,3729.493,
151,3708.786,
152,3681.357,
153,3637.152,
154,3633.821,
155,3682.736,
156,3643.436,
157,3549.026,
158,3647.919,
