X	Y	
158.167	538.500	
157.998	537.513	
157.830	536.525	
157.661	535.538	
157.492	534.551	
157.321	533.564	
157.150	532.577	
156.977	531.590	
156.803	530.604	
156.627	529.618	
156.449	528.632	
156.268	527.647	
156.086	526.662	
155.900	525.678	
155.712	524.694	
155.521	523.711	
155.326	522.728	
155.127	521.746	
154.924	520.766	
154.718	519.785	
154.506	518.806	
154.290	517.828	
154.069	516.851	
153.842	515.876	
153.610	514.901	
153.371	513.929	
153.126	512.957	
152.875	511.988	
152.616	511.020	
152.350	510.055	
152.075	509.091	
151.793	508.130	
151.502	507.172	
151.201	506.216	
150.893	505.263	
150.576	504.313	
150.253	503.365	
149.924	502.419	
149.590	501.475	
149.251	500.532	
148.909	499.591	
148.565	498.650	
148.220	497.710	
147.873	496.770	
147.528	495.830	
147.183	494.889	
146.841	493.948	
146.502	493.006	
146.166	492.062	
145.835	491.116	
145.509	490.169	
145.189	489.220	
144.875	488.269	
144.569	487.315	
144.270	486.359	
143.979	485.401	
143.696	484.440	
143.423	483.476	
143.158	482.510	
142.903	481.542	
142.657	480.571	
142.421	479.597	
142.194	478.622	
141.978	477.644	
141.771	476.664	
141.573	475.682	
141.384	474.698	
141.203	473.713	
141.030	472.727	
140.864	471.739	
140.705	470.750	
140.553	469.760	
140.409	468.768	
140.270	467.776	
140.138	466.784	
140.012	465.790	
139.891	464.796	
139.777	463.801	
139.667	462.805	
139.564	461.809	
139.465	460.812	
139.371	459.815	
139.283	458.817	
139.199	457.819	
139.120	456.820	
139.046	455.821	
138.976	454.822	
138.911	453.823	
138.851	452.823	
138.794	451.823	
138.742	450.822	
138.695	449.822	
138.651	448.821	
138.612	447.820	
138.576	446.819	
138.545	445.818	
138.518	444.817	
138.495	443.816	
138.476	442.814	
138.461	441.813	
138.450	440.811	
138.442	439.809	
138.439	438.808	
138.440	437.806	
138.444	436.804	
138.453	435.803	
138.466	434.801	
138.482	433.800	
138.503	432.798	
138.528	431.797	
138.556	430.796	
138.589	429.795	
138.626	428.794	
138.667	427.793	
138.713	426.792	
138.763	425.792	
138.817	424.792	
138.875	423.792	
138.939	422.792	
139.006	421.793	
139.078	420.794	
139.155	419.795	
139.235	418.797	
139.321	417.799	
139.410	416.801	
139.504	415.804	
139.602	414.807	
139.704	413.811	
139.810	412.815	
139.921	411.819	
140.035	410.824	
140.154	409.829	
140.276	408.835	
140.402	407.842	
140.532	406.848	
140.665	405.856	
140.802	404.863	
140.942	403.872	
141.086	402.880	
141.233	401.890	
141.383	400.899	
141.536	399.909	
141.692	398.920	
141.851	397.931	
142.012	396.942	
142.176	395.954	
142.342	394.966	
142.511	393.979	
142.681	392.992	
142.854	392.005	
143.028	391.019	
143.204	390.033	
143.381	389.047	
143.560	388.061	
143.739	387.076	
143.920	386.091	
144.102	385.106	
144.284	384.121	
144.467	383.136	
144.650	382.151	
144.833	381.167	
