 ,Value,
1,3748.080,
2,3660.158,
3,3720.831,
4,3637.613,
5,3720.891,
6,3728.814,
7,3769.481,
8,3829.694,
9,3892.115,
10,3829.476,
11,3751.690,
12,3694.462,
13,3683.062,
14,3682.475,
15,3652.396,
16,3658.911,
17,3634.567,
18,3623.466,
19,3577.846,
20,3630.655,
21,3601.379,
22,3577.331,
23,3596.225,
24,3693.067,
25,3709.164,
26,3639.985,
27,3778.593,
28,3625.299,
29,3613.262,
30,3704.837,
31,3801.231,
32,3837.834,
33,3831.314,
34,3902.509,
35,4023.635,
36,3941.460,
37,3977.377,
38,4176.655,
39,4144.718,
40,3978.069,
41,3882.766,
42,3844.028,
43,3828.263,
44,3834.908,
45,3786.506,
46,3880.117,
47,3792.499,
48,3811.860,
49,4015.577,
50,3885.327,
51,3891.123,
52,3918.737,
53,3811.914,
54,3786.088,
55,3737.773,
56,3745.022,
57,3821.005,
58,3763.813,
59,3685.532,
60,3739.752,
61,3793.833,
62,3832.935,
63,3909.466,
64,3826.448,
65,3783.175,
66,3748.044,
67,3725.558,
68,3644.383,
69,3664.441,
70,3825.159,
71,3880.584,
72,3818.331,
73,3896.367,
74,3845.660,
75,3743.395,
76,3722.721,
77,3689.879,
78,3636.597,
79,3590.893,
80,3711.387,
81,3634.941,
82,3618.598,
83,3617.576,
84,3666.793,
85,3658.354,
86,3671.242,
87,3635.506,
88,3565.285,
89,3512.301,
90,3578.306,
91,3544.982,
92,3624.594,
93,3548.472,
94,3571.626,
95,3518.444,
96,3525.061,
97,3529.383,
98,3604.797,
99,3562.001,
100,3536.976,
101,3567.627,
102,3597.894,
103,3572.664,
104,3576.490,
105,3566.725,
106,3579.094,
107,3559.929,
108,3557.858,
109,3604.283,
110,3618.199,
111,3607.349,
112,3596.279,
113,3596.805,
114,3583.808,
115,3590.194,
116,3569.884,
117,3601.043,
118,3530.857,
119,3618.086,
120,3625.107,
121,3570.088,
122,3602.124,
123,3550.420,
124,3566.974,
125,3602.572,
126,3630.351,
127,3644.885,
128,3559.200,
129,3545.706,
130,3538.783,
131,3609.050,
132,3551.223,
133,3564.470,
134,3570.836,
135,3661.730,
136,3593.482,
137,3592.812,
138,3567.999,
139,3598.105,
140,3589.588,
141,3630.485,
142,3610.490,
143,3605.086,
144,3542.271,
145,3572.025,
146,3531.994,
