 ,Value,
1,3966.410,
2,4058.241,
3,4093.880,
4,3963.558,
5,3864.978,
6,3789.333,
7,3671.473,
8,3669.947,
9,3705.251,
10,3765.464,
11,3720.482,
12,3811.091,
13,3788.979,
14,3807.508,
15,3759.892,
16,3662.940,
17,3681.285,
18,3653.617,
19,3759.648,
20,3792.718,
21,3631.530,
22,3690.213,
23,3687.728,
24,3761.814,
25,3860.314,
26,3903.807,
27,3954.220,
28,3877.289,
29,3717.367,
30,3732.399,
31,3692.423,
32,3659.022,
33,3603.379,
34,3664.183,
35,3669.903,
36,3706.045,
37,3747.708,
38,3718.692,
39,3701.232,
40,3809.247,
41,3904.872,
42,3915.806,
43,4075.573,
44,4002.558,
45,3910.253,
46,3798.809,
47,3725.637,
48,3755.122,
49,3774.236,
50,3818.240,
51,3874.283,
52,3845.087,
53,3779.374,
54,3768.802,
55,3812.359,
56,3830.084,
57,3782.022,
58,3705.035,
59,3835.936,
60,3890.668,
61,4147.282,
62,4363.940,
63,4538.287,
64,4521.646,
65,4275.766,
66,4184.186,
67,4148.577,
68,3857.734,
69,3812.207,
70,3923.459,
71,4004.793,
72,4076.470,
73,4121.321,
74,4145.698,
75,3989.033,
76,3868.413,
77,3861.660,
78,3719.621,
79,3636.962,
80,3666.398,
81,3625.326,
82,3612.384,
83,3682.028,
84,3686.841,
85,3678.388,
86,3734.211,
87,3672.477,
88,3732.028,
89,3730.097,
90,3794.348,
91,3728.874,
92,3691.152,
93,3703.282,
94,3605.160,
95,3761.319,
96,3743.145,
97,3844.036,
98,3816.104,
99,3747.622,
100,3673.219,
101,3631.650,
102,3630.443,
103,3646.261,
104,3626.405,
105,3642.844,
106,3695.270,
107,3660.092,
108,3700.598,
109,3672.623,
110,3653.225,
111,3667.384,
112,3582.764,
113,3665.994,
114,3633.061,
115,3625.425,
116,3618.271,
117,3690.394,
118,3639.498,
119,3611.855,
120,3713.305,
121,3676.706,
122,3654.794,
123,3703.425,
124,3652.915,
125,3633.957,
126,3635.684,
127,3671.551,
128,3641.074,
129,3669.824,
130,3570.442,
131,3660.827,
132,3641.258,
133,3607.215,
134,3637.625,
135,3586.500,
136,3659.580,
137,3633.181,
