X	Y	
158.833	604.500	
158.591	603.534	
158.349	602.567	
158.107	601.601	
157.866	600.634	
157.625	599.667	
157.384	598.700	
157.145	597.733	
156.906	596.766	
156.669	595.798	
156.433	594.830	
156.198	593.862	
155.964	592.894	
155.733	591.925	
155.503	590.955	
155.275	589.985	
155.049	589.015	
154.825	588.044	
154.604	587.073	
154.385	586.101	
154.169	585.128	
153.956	584.155	
153.746	583.181	
153.539	582.206	
153.335	581.231	
153.135	580.255	
152.938	579.278	
152.746	578.301	
152.557	577.323	
152.373	576.343	
152.193	575.363	
152.018	574.383	
151.847	573.401	
151.682	572.419	
151.522	571.435	
151.367	570.451	
151.218	569.466	
151.075	568.480	
150.938	567.493	
150.808	566.505	
150.684	565.517	
150.567	564.527	
150.457	563.537	
150.354	562.546	
150.259	561.554	
150.172	560.562	
150.093	559.569	
150.022	558.575	
149.960	557.581	
149.905	556.586	
149.858	555.590	
149.819	554.595	
149.788	553.599	
149.764	552.603	
149.748	551.607	
149.740	550.611	
149.740	549.614	
149.746	548.618	
149.761	547.622	
149.782	546.626	
149.812	545.630	
149.848	544.634	
149.892	543.639	
149.943	542.644	
150.002	541.649	
150.068	540.655	
150.142	539.662	
150.223	538.669	
150.311	537.676	
150.407	536.685	
150.510	535.694	
150.621	534.703	
150.740	533.714	
150.866	532.726	
151.001	531.739	
151.143	530.753	
151.293	529.768	
151.453	528.784	
151.620	527.802	
151.796	526.822	
151.981	525.843	
152.174	524.865	
152.374	523.889	
152.582	522.915	
152.796	521.942	
153.016	520.970	
153.241	519.999	
153.470	519.030	
153.702	518.061	
153.936	517.092	
154.171	516.124	
154.405	515.156	
154.639	514.187	
154.870	513.218	
155.099	512.248	
155.323	511.278	
155.544	510.306	
155.759	509.333	
155.969	508.359	
156.176	507.385	
156.379	506.409	
156.578	505.433	
156.775	504.456	
156.968	503.479	
157.159	502.501	
157.347	501.523	
157.533	500.544	
157.717	499.565	
157.899	498.585	
158.080	497.606	
158.259	496.625	
158.437	495.645	
158.613	494.665	
158.788	493.684	
158.963	492.703	
159.136	491.722	
159.309	490.741	
159.481	489.759	
159.653	488.778	
159.824	487.796	
159.996	486.815	
160.167	485.833	
