 ,Value,
1,3783.200,
2,3801.315,
3,3895.648,
4,3924.956,
5,3826.938,
6,3844.060,
7,3763.350,
8,3616.377,
9,3652.809,
10,3696.506,
11,3656.122,
12,3652.334,
13,3523.132,
14,3628.749,
15,3623.047,
16,3612.552,
17,3668.097,
18,3576.955,
19,3679.566,
20,3620.163,
21,3674.376,
22,3713.585,
23,3766.300,
24,3710.165,
25,3721.542,
26,3833.442,
27,3884.982,
28,3902.332,
29,3830.606,
30,3904.307,
31,3918.594,
32,3842.068,
33,3911.336,
34,3924.602,
35,3851.677,
36,3895.127,
37,3779.327,
38,3783.471,
39,3790.074,
40,3714.008,
41,3814.165,
42,3895.324,
43,3876.179,
44,3838.278,
45,3789.849,
46,3787.668,
47,3738.757,
48,3682.463,
49,3907.276,
50,3894.282,
51,3899.221,
52,3912.003,
53,3834.250,
54,3757.539,
55,3868.922,
56,3862.459,
57,3920.405,
58,3917.839,
59,3833.468,
60,3792.476,
61,3715.463,
62,3669.701,
63,3645.130,
64,3659.774,
65,3631.026,
66,3729.364,
67,3858.486,
68,3977.767,
69,4064.244,
70,3990.206,
71,3897.305,
72,3847.808,
73,3643.972,
74,3673.254,
75,3659.437,
76,3669.729,
77,3712.297,
78,3789.096,
79,3798.451,
80,3713.391,
81,3703.639,
82,3723.090,
83,3671.691,
84,3586.580,
85,3611.901,
86,3597.421,
87,3582.695,
88,3541.824,
89,3543.274,
90,3574.617,
91,3534.415,
92,3531.221,
93,3559.692,
94,3566.078,
95,3569.369,
96,3597.077,
97,3599.397,
98,3592.884,
99,3609.436,
100,3636.090,
101,3590.175,
102,3570.447,
103,3607.042,
104,3624.089,
105,3631.769,
106,3652.974,
107,3623.827,
108,3556.193,
109,3615.606,
110,3667.747,
111,3640.776,
112,3521.069,
113,3575.929,
114,3614.180,
115,3534.499,
116,3615.912,
117,3613.871,
118,3554.820,
119,3511.355,
120,3627.409,
121,3589.704,
122,3595.996,
123,3603.851,
124,3580.861,
125,3549.483,
126,3673.791,
127,3612.409,
128,3668.183,
129,3631.000,
130,3602.645,
131,3577.333,
132,3600.243,
133,3534.600,
134,3576.617,
135,3594.484,
136,3548.055,
137,3594.851,
138,3665.223,
139,3633.641,
140,3598.539,
141,3562.527,
142,3580.343,
143,3595.542,
144,3654.253,
145,3593.721,
146,3716.367,
147,3637.144,
