 ,Value,
1,3602.394,
2,3659.749,
3,3676.787,
4,3694.004,
5,3779.358,
6,3759.910,
7,3711.428,
8,3754.717,
9,3774.290,
10,3777.789,
11,3777.647,
12,3703.155,
13,3691.172,
14,3689.451,
15,3717.474,
16,3643.881,
17,3702.546,
18,3652.873,
19,3688.143,
20,3652.042,
21,3567.799,
22,3644.168,
23,3713.096,
24,3577.644,
25,3596.252,
26,3546.132,
27,3597.118,
28,3566.523,
29,3618.940,
30,3629.258,
31,3638.988,
32,3647.206,
33,3655.709,
34,3687.575,
35,3698.161,
36,3741.874,
37,3811.486,
38,3833.690,
39,3809.415,
40,3802.827,
41,3671.646,
42,3728.765,
43,3716.094,
44,3690.646,
45,3740.545,
46,3668.547,
47,3716.123,
48,3730.217,
49,3749.872,
50,3731.773,
51,3729.565,
52,3712.815,
53,3759.954,
54,3748.997,
55,3683.062,
56,3643.571,
57,3657.273,
58,3586.671,
59,3687.286,
60,3773.312,
61,3816.214,
62,3726.938,
63,3787.891,
64,3758.940,
65,3766.723,
66,3803.649,
67,3779.213,
68,3750.644,
69,3748.600,
70,3690.955,
71,3764.131,
72,3780.280,
73,3852.530,
74,3796.536,
75,3819.762,
76,3784.604,
77,3722.292,
78,3747.753,
79,3732.275,
80,3697.971,
81,3652.776,
82,3555.420,
83,3571.537,
84,3684.663,
85,3565.216,
86,3603.975,
87,3561.551,
88,3526.102,
89,3520.241,
90,3473.152,
91,3533.653,
92,3603.279,
93,3671.379,
94,3644.748,
95,3858.270,
96,4011.785,
97,3974.842,
98,3919.534,
99,3932.765,
100,3800.752,
101,3721.113,
102,3685.718,
103,3669.657,
104,3668.810,
105,3701.480,
106,3733.549,
107,3744.680,
108,3669.906,
109,3629.929,
110,3654.201,
111,3653.666,
112,3624.327,
113,3666.599,
114,3620.526,
115,3633.857,
116,3686.568,
117,3643.413,
118,3733.790,
119,3657.143,
120,3605.990,
121,3620.767,
122,3674.318,
123,3574.751,
124,3592.384,
125,3611.836,
126,3687.957,
127,3741.770,
128,3707.635,
129,3740.593,
130,3712.536,
131,3601.538,
132,3567.689,
133,3576.209,
134,3587.383,
135,3637.089,
136,3681.120,
137,3647.065,
138,3617.939,
139,3640.904,
140,3627.401,
141,3620.445,
142,3631.503,
143,3625.230,
144,3558.358,
145,3588.541,
146,3665.604,
147,3688.868,
148,3702.514,
149,3641.118,
150,3674.976,
151,3603.583,
152,3633.335,
153,3677.537,
154,3638.821,
155,3616.016,
156,3588.762,
157,3600.097,
158,3632.108,
159,3589.791,
160,3595.642,
161,3575.780,
