X	Y	
160.833	581.167	
160.358	580.287	
159.885	579.407	
159.415	578.525	
158.949	577.641	
158.490	576.753	
158.037	575.862	
157.591	574.968	
157.153	574.069	
156.722	573.167	
156.299	572.262	
155.883	571.353	
155.474	570.441	
155.072	569.526	
154.676	568.608	
154.285	567.688	
153.900	566.766	
153.520	565.842	
153.144	564.915	
152.773	563.987	
152.407	563.057	
152.045	562.126	
151.686	561.193	
151.332	560.258	
150.982	559.322	
150.635	558.385	
150.293	557.446	
149.954	556.505	
149.619	555.564	
149.287	554.621	
148.960	553.677	
148.636	552.731	
148.316	551.784	
147.999	550.836	
147.687	549.887	
147.378	548.936	
147.073	547.984	
146.773	547.031	
146.476	546.077	
146.183	545.121	
145.895	544.164	
145.611	543.206	
145.331	542.246	
145.055	541.286	
144.784	540.323	
144.518	539.360	
144.256	538.395	
144.000	537.429	
143.749	536.462	
143.503	535.493	
143.263	534.523	
143.028	533.551	
142.800	532.578	
142.577	531.604	
142.361	530.628	
142.151	529.651	
141.948	528.672	
141.751	527.693	
141.561	526.711	
141.379	525.729	
141.203	524.745	
141.035	523.759	
140.875	522.773	
140.722	521.785	
140.577	520.796	
140.440	519.806	
140.310	518.815	
140.189	517.823	
140.077	516.830	
139.973	515.836	
139.878	514.841	
139.791	513.845	
139.713	512.849	
139.643	511.852	
139.583	510.854	
139.531	509.856	
139.489	508.857	
139.456	507.858	
139.433	506.859	
139.418	505.860	
139.413	504.860	
139.417	503.861	
139.431	502.861	
139.454	501.862	
139.486	500.863	
139.528	499.865	
139.579	498.866	
139.639	497.869	
139.708	496.872	
139.785	495.875	
139.870	494.879	
139.964	493.884	
140.064	492.890	
140.172	491.896	
140.287	490.903	
140.409	489.911	
140.537	488.920	
140.672	487.930	
140.812	486.940	
140.959	485.951	
141.111	484.963	
141.268	483.976	
141.431	482.990	
141.598	482.005	
141.770	481.020	
141.947	480.037	
142.129	479.054	
142.314	478.072	
142.504	477.090	
142.698	476.110	
142.895	475.130	
143.096	474.151	
143.300	473.173	
143.507	472.195	
143.718	471.218	
143.931	470.241	
144.147	469.265	
144.366	468.290	
144.587	467.315	
144.810	466.341	
145.036	465.368	
145.264	464.394	
145.493	463.422	
145.724	462.449	
145.957	461.477	
146.192	460.506	
146.428	459.534	
146.665	458.563	
146.903	457.593	
147.142	456.622	
147.382	455.652	
147.623	454.682	
147.864	453.712	
148.106	452.742	
148.348	451.773	
148.591	450.803	
148.833	449.833	
