 ,Value,
1,3602.183,
2,3613.572,
3,3651.447,
4,3730.161,
5,3889.280,
6,4025.428,
7,4038.081,
8,4091.944,
9,3910.121,
10,3791.979,
11,3705.147,
12,3647.010,
13,3665.585,
14,3603.231,
15,3615.551,
16,3627.402,
17,3613.484,
18,3629.182,
19,3628.603,
20,3662.688,
21,3608.704,
22,3600.479,
23,3665.221,
24,3754.355,
25,3774.873,
26,3688.183,
27,3648.511,
28,3634.875,
29,3569.982,
30,3618.766,
31,3651.044,
32,3606.687,
33,3627.764,
34,3673.114,
35,3689.170,
36,3691.310,
37,3691.943,
38,3719.248,
39,3706.159,
40,3811.785,
41,3798.209,
42,3749.518,
43,3726.511,
44,3718.487,
45,3696.395,
46,3805.559,
47,3777.694,
48,3915.571,
49,3840.258,
50,3860.424,
51,3906.670,
52,3941.479,
53,3703.156,
54,3742.014,
55,3779.135,
56,3681.963,
57,3728.689,
58,3693.445,
59,3772.248,
60,3694.065,
61,3722.798,
62,3738.947,
63,3793.440,
64,3900.239,
65,4077.225,
66,4196.115,
67,4278.068,
68,4360.663,
69,4320.260,
70,4300.866,
71,4042.598,
72,3983.514,
73,3975.926,
74,4000.447,
75,3964.979,
76,3948.614,
77,3883.020,
78,3901.189,
79,3993.858,
80,3954.237,
81,3906.052,
82,3829.542,
83,3706.365,
84,3647.329,
85,3648.103,
86,3643.367,
87,3637.887,
88,3670.445,
89,3564.261,
90,3541.644,
91,3620.512,
92,3618.711,
93,3665.220,
94,3702.261,
95,3697.076,
96,3657.311,
97,3604.932,
98,3668.959,
99,3652.246,
100,3645.646,
101,3646.895,
102,3622.122,
103,3620.063,
104,3679.298,
105,3612.970,
106,3571.076,
107,3540.843,
108,3607.794,
109,3552.158,
110,3620.578,
111,3558.537,
112,3624.119,
113,3673.217,
114,3658.175,
115,3658.256,
116,3632.743,
117,3616.591,
118,3598.271,
119,3601.158,
120,3670.406,
121,3600.646,
122,3676.668,
123,3577.406,
124,3607.859,
125,3646.041,
126,3661.464,
127,3607.319,
128,3651.656,
129,3623.190,
130,3578.554,
131,3584.087,
132,3681.906,
133,3556.110,
134,3623.420,
135,3525.284,
136,3522.497,
