X	Y	
162.167	573.167	
161.941	572.194	
161.715	571.222	
161.489	570.250	
161.264	569.277	
161.039	568.304	
160.816	567.331	
160.593	566.358	
160.371	565.385	
160.151	564.411	
159.933	563.437	
159.716	562.463	
159.501	561.488	
159.288	560.512	
159.077	559.537	
158.869	558.560	
158.663	557.583	
158.460	556.606	
158.260	555.628	
158.063	554.649	
157.870	553.670	
157.680	552.690	
157.494	551.709	
157.312	550.728	
157.134	549.745	
156.961	548.762	
156.792	547.778	
156.628	546.794	
156.469	545.808	
156.315	544.822	
156.167	543.834	
156.025	542.846	
155.888	541.857	
155.757	540.868	
155.632	539.877	
155.513	538.886	
155.399	537.894	
155.290	536.902	
155.187	535.909	
155.090	534.916	
154.998	533.922	
154.911	532.927	
154.829	531.932	
154.753	530.937	
154.681	529.941	
154.615	528.945	
154.553	527.949	
154.497	526.952	
154.445	525.955	
154.397	524.958	
154.354	523.961	
154.316	522.963	
154.282	521.965	
154.252	520.967	
154.226	519.969	
154.204	518.971	
154.186	517.973	
154.172	516.975	
154.162	515.977	
154.155	514.979	
154.152	513.980	
154.152	512.982	
154.157	511.984	
154.164	510.986	
154.176	509.987	
154.192	508.989	
154.211	507.991	
154.234	506.993	
154.260	505.995	
154.290	504.997	
154.324	504.000	
154.362	503.002	
154.403	502.005	
154.448	501.007	
154.497	500.010	
154.549	499.013	
154.605	498.017	
154.665	497.020	
154.727	496.024	
154.794	495.028	
154.864	494.032	
154.937	493.036	
155.013	492.041	
155.093	491.046	
155.177	490.051	
155.263	489.057	
155.353	488.062	
155.446	487.068	
155.541	486.075	
155.640	485.081	
155.742	484.088	
155.847	483.095	
155.954	482.103	
156.064	481.111	
156.176	480.119	
156.291	479.127	
156.407	478.136	
156.526	477.145	
156.647	476.154	
156.770	475.163	
156.894	474.172	
157.021	473.182	
157.149	472.192	
157.278	471.202	
157.409	470.213	
157.542	469.223	
157.676	468.234	
157.811	467.245	
157.947	466.256	
158.085	465.267	
158.223	464.278	
158.363	463.290	
158.503	462.302	
158.645	461.313	
158.787	460.325	
158.930	459.337	
159.074	458.349	
159.218	457.362	
159.363	456.374	
159.509	455.386	
159.655	454.399	
159.801	453.411	
159.948	452.424	
160.095	451.436	
160.242	450.449	
160.390	449.462	
160.538	448.475	
160.685	447.487	
160.833	446.500	
