X	Y	
158.167	606.500	
157.961	605.525	
157.755	604.551	
157.549	603.576	
157.344	602.601	
157.139	601.626	
156.934	600.651	
156.729	599.676	
156.525	598.701	
156.322	597.726	
156.119	596.751	
155.917	595.775	
155.716	594.799	
155.515	593.824	
155.316	592.848	
155.117	591.871	
154.919	590.895	
154.723	589.918	
154.528	588.941	
154.334	587.964	
154.142	586.987	
153.951	586.009	
153.762	585.031	
153.574	584.053	
153.388	583.074	
153.205	582.095	
153.023	581.115	
152.843	580.135	
152.666	579.155	
152.491	578.174	
152.319	577.193	
152.149	576.212	
151.982	575.229	
151.818	574.247	
151.657	573.264	
151.500	572.280	
151.346	571.296	
151.196	570.311	
151.050	569.326	
150.908	568.339	
150.770	567.353	
150.637	566.366	
150.509	565.378	
150.386	564.389	
150.269	563.400	
150.157	562.410	
150.052	561.419	
149.953	560.428	
149.860	559.436	
149.774	558.444	
149.694	557.451	
149.621	556.457	
149.555	555.463	
149.496	554.469	
149.443	553.474	
149.397	552.479	
149.358	551.483	
149.325	550.488	
149.300	549.492	
149.281	548.496	
149.268	547.500	
149.263	546.503	
149.263	545.507	
149.270	544.511	
149.283	543.515	
149.303	542.519	
149.328	541.523	
149.358	540.527	
149.394	539.532	
149.436	538.536	
149.482	537.541	
149.532	536.546	
149.587	535.552	
149.647	534.557	
149.711	533.563	
149.780	532.569	
149.853	531.576	
149.932	530.583	
150.015	529.590	
150.102	528.597	
150.195	527.606	
150.292	526.614	
150.394	525.623	
150.500	524.633	
150.611	523.643	
150.727	522.653	
150.848	521.664	
150.972	520.676	
151.102	519.688	
151.235	518.701	
151.373	517.714	
151.515	516.728	
151.662	515.743	
151.812	514.758	
151.965	513.774	
152.122	512.790	
152.283	511.807	
152.446	510.824	
152.612	509.842	
152.780	508.860	
152.951	507.879	
153.124	506.897	
153.299	505.917	
153.477	504.936	
153.655	503.956	
153.835	502.977	
154.017	501.997	
154.200	501.018	
154.384	500.039	
154.568	499.060	
154.754	498.081	
154.940	497.102	
155.126	496.124	
155.313	495.145	
155.500	494.167	
