 ,Value,
1,3804.418,
2,3896.560,
3,3997.407,
4,4062.190,
5,4162.454,
6,3868.878,
7,3802.316,
8,3759.207,
9,3685.756,
10,3739.615,
11,3709.777,
12,3761.144,
13,3704.093,
14,3622.955,
15,3666.229,
16,3700.974,
17,3657.409,
18,3676.242,
19,3680.966,
20,3778.813,
21,3736.314,
22,3678.082,
23,3687.409,
24,3732.103,
25,3744.676,
26,3763.692,
27,3803.393,
28,3856.525,
29,3796.708,
30,3712.214,
31,3703.679,
32,3698.630,
33,3698.163,
34,3690.247,
35,3743.847,
36,3780.008,
37,3705.714,
38,3749.803,
39,3734.127,
40,3832.228,
41,3881.419,
42,4085.236,
43,3930.945,
44,4017.868,
45,3778.118,
46,3821.086,
47,3822.825,
48,3873.479,
49,3817.469,
50,3896.512,
51,3924.313,
52,3946.101,
53,3873.494,
54,3923.038,
55,3877.761,
56,3877.695,
57,3738.746,
58,3744.876,
59,3811.657,
60,3849.079,
61,3891.065,
62,3970.671,
63,4094.105,
64,4200.979,
65,4440.567,
66,4430.874,
67,4475.053,
68,4222.449,
69,4018.837,
70,3730.192,
71,3701.213,
72,3711.186,
73,3838.833,
74,3897.840,
75,3904.966,
76,4050.412,
77,4059.879,
78,4008.498,
79,3941.233,
80,3739.840,
81,3728.951,
82,3620.951,
83,3636.748,
84,3632.267,
85,3579.982,
86,3643.056,
87,3733.797,
88,3694.492,
89,3736.953,
90,3798.152,
91,3790.633,
92,3791.047,
93,3790.785,
94,3718.141,
95,3705.784,
96,3791.820,
97,3820.538,
98,3800.768,
99,3778.189,
100,3705.109,
101,3650.487,
102,3633.759,
103,3664.092,
104,3723.255,
105,3631.110,
106,3588.170,
107,3623.160,
108,3605.791,
109,3580.670,
110,3659.133,
111,3612.431,
112,3712.452,
113,3676.582,
114,3697.732,
115,3624.381,
116,3637.774,
117,3618.174,
118,3655.066,
119,3647.548,
120,3660.226,
121,3633.008,
122,3720.067,
123,3725.090,
124,3671.980,
125,3664.355,
126,3595.191,
127,3694.599,
128,3661.817,
129,3712.550,
130,3709.425,
131,3733.959,
132,3656.440,
133,3628.094,
134,3560.554,
135,3592.301,
136,3653.000,
137,3568.070,
