 ,Value,
1,4013.351,
2,4002.483,
3,3806.816,
4,3744.937,
5,3694.683,
6,3685.227,
7,3768.527,
8,3691.821,
9,3703.827,
10,3709.316,
11,3732.128,
12,3694.169,
13,3726.361,
14,3693.111,
15,3656.691,
16,3624.749,
17,3718.099,
18,3647.606,
19,3613.028,
20,3641.860,
21,3641.189,
22,3635.182,
23,3653.789,
24,3662.279,
25,3787.818,
26,3723.664,
27,3739.931,
28,3641.181,
29,3622.785,
30,3692.473,
31,3694.565,
32,3717.135,
33,3778.380,
34,3782.666,
35,3808.245,
36,3796.974,
37,3863.611,
38,3899.979,
39,3948.323,
40,3951.509,
41,3999.787,
42,3817.333,
43,3696.855,
44,3769.014,
45,3751.431,
46,3726.080,
47,3847.698,
48,3852.555,
49,3909.537,
50,3934.402,
51,3909.717,
52,3997.263,
53,3869.866,
54,3798.503,
55,3872.335,
56,3966.539,
57,4023.809,
58,4099.472,
59,4359.306,
60,4282.330,
61,4211.260,
62,4217.262,
63,4101.381,
64,4122.074,
65,4013.040,
66,3898.241,
67,3833.916,
68,3825.159,
69,3774.935,
70,3791.277,
71,3947.600,
72,3997.067,
73,3974.253,
74,4000.551,
75,3982.014,
76,3888.466,
77,3804.065,
78,3738.802,
79,3716.585,
80,3693.684,
81,3693.341,
82,3680.444,
83,3692.164,
84,3758.078,
85,3815.959,
86,3790.253,
87,3814.941,
88,3881.565,
89,3963.475,
90,3896.734,
91,3823.270,
92,3791.778,
93,3895.168,
94,3944.454,
95,3817.740,
96,3805.700,
97,3806.306,
98,3719.334,
99,3683.198,
100,3776.888,
101,3723.169,
102,3725.230,
103,3690.725,
104,3793.414,
105,3812.485,
106,3799.018,
107,3755.869,
108,3701.035,
109,3746.392,
110,3749.321,
111,3742.580,
112,3736.182,
113,3718.845,
114,3780.877,
115,3722.509,
116,3760.307,
117,3808.035,
118,3716.495,
119,3698.017,
120,3722.411,
121,3756.260,
122,3747.401,
123,3662.269,
124,3634.667,
125,3627.077,
126,3705.609,
127,3665.752,
128,3743.514,
129,3668.568,
130,3620.984,
131,3652.644,
132,3660.446,
133,3737.723,
134,3669.751,
135,3661.373,
136,3655.400,
137,3674.813,
138,3622.993,
139,3586.243,
140,3658.904,
141,3625.239,
142,3587.028,
143,3547.164,
144,3579.002,
