 ,Value,
1,3797.822,
2,3957.196,
3,4165.777,
4,4147.136,
5,3955.360,
6,3739.213,
7,3733.125,
8,3592.444,
9,3642.386,
10,3715.100,
11,3778.197,
12,3737.737,
13,3782.531,
14,3745.946,
15,3666.521,
16,3718.658,
17,3635.780,
18,3649.784,
19,3635.133,
20,3606.831,
21,3735.404,
22,3742.717,
23,3642.840,
24,3739.615,
25,3748.513,
26,3831.180,
27,3781.950,
28,3818.309,
29,3781.520,
30,3747.849,
31,3751.451,
32,3731.785,
33,3723.203,
34,3733.012,
35,3731.017,
36,3727.422,
37,3761.178,
38,3891.204,
39,3801.884,
40,3822.775,
41,3944.778,
42,4010.473,
43,4171.548,
44,4025.348,
45,3943.476,
46,3726.831,
47,3746.330,
48,3765.654,
49,3664.172,
50,3704.663,
51,3736.419,
52,3805.192,
53,3747.783,
54,3773.234,
55,3807.957,
56,3786.739,
57,3846.988,
58,3803.071,
59,3705.110,
60,3830.555,
61,4048.028,
62,3936.744,
63,3836.158,
64,3767.603,
65,3847.560,
66,3871.656,
67,4035.073,
68,4242.214,
69,4239.318,
70,4300.967,
71,4244.111,
72,4106.096,
73,4035.978,
74,3989.808,
75,3919.204,
76,3901.725,
77,3961.083,
78,3906.546,
79,3882.764,
80,3685.059,
81,3603.836,
82,3626.484,
83,3673.879,
84,3641.794,
85,3791.031,
86,3702.122,
87,3723.212,
88,3799.816,
89,3822.085,
90,3980.875,
91,4039.640,
92,3921.568,
93,3958.133,
94,3992.842,
95,3894.832,
96,3872.874,
97,3718.273,
98,3768.261,
99,3805.666,
100,3742.867,
101,3773.850,
102,3747.913,
103,3665.265,
104,3651.579,
105,3669.948,
106,3709.258,
107,3570.599,
108,3661.570,
109,3623.860,
110,3598.046,
111,3621.125,
112,3651.149,
113,3573.232,
114,3510.731,
115,3567.906,
116,3668.478,
117,3744.667,
118,3692.747,
119,3703.011,
120,3710.849,
121,3683.434,
122,3724.357,
123,3663.753,
124,3677.508,
125,3679.435,
126,3672.082,
127,3734.969,
128,3642.339,
129,3660.388,
130,3723.042,
131,3642.440,
132,3664.815,
133,3693.546,
134,3727.091,
135,3743.844,
136,3721.233,
137,3660.073,
138,3663.056,
139,3634.278,
140,3596.295,
141,3565.033,
142,3544.723,
143,3571.653,
144,3550.278,
