 ,Value,
1,3616.245,
2,3598.161,
3,3663.065,
4,3682.308,
5,3692.465,
6,3634.408,
7,3746.838,
8,3715.417,
9,3723.262,
10,3753.475,
11,3740.068,
12,3643.759,
13,3705.364,
14,3715.368,
15,3731.027,
16,3680.562,
17,3592.955,
18,3614.298,
19,3639.331,
20,3594.069,
21,3664.503,
22,3626.810,
23,3618.105,
24,3576.767,
25,3699.002,
26,3622.935,
27,3643.412,
28,3678.942,
29,3747.050,
30,3735.617,
31,3799.917,
32,3890.259,
33,3947.275,
34,3917.357,
35,3875.987,
36,3906.924,
37,3906.422,
38,3843.571,
39,3798.588,
40,3767.484,
41,3762.551,
42,3798.289,
43,3691.698,
44,3706.355,
45,3667.289,
46,3629.208,
47,3630.563,
48,3625.345,
49,3688.611,
50,3739.115,
51,3850.674,
52,3769.185,
53,3718.407,
54,3822.256,
55,3765.939,
56,3741.473,
57,3664.185,
58,3683.683,
59,3690.995,
60,3671.653,
61,3665.995,
62,3715.461,
63,3702.341,
64,3616.412,
65,3574.536,
66,3575.425,
67,3578.520,
68,3637.328,
69,3641.393,
70,3727.148,
71,3651.384,
72,3648.496,
73,3608.483,
74,3580.391,
75,3620.961,
76,3635.810,
77,3586.577,
78,3635.763,
79,3574.854,
80,3633.291,
81,3616.658,
82,3648.628,
83,3607.817,
84,3599.400,
85,3574.359,
86,3545.056,
87,3587.558,
88,3511.513,
89,3471.940,
90,3510.098,
91,3518.457,
92,3589.350,
93,3543.044,
94,3492.799,
95,3511.481,
96,3542.118,
97,3586.561,
98,3535.044,
99,3510.835,
100,3524.939,
101,3522.045,
102,3514.138,
103,3572.076,
104,3564.658,
105,3582.248,
106,3539.405,
107,3479.871,
108,3572.261,
109,3573.909,
110,3520.463,
111,3567.464,
112,3549.002,
113,3543.244,
114,3479.298,
115,3542.663,
116,3615.853,
117,3576.157,
118,3628.902,
119,3612.965,
120,3535.170,
121,3574.269,
122,3596.159,
123,3505.873,
124,3486.581,
125,3562.820,
126,3506.615,
127,3594.981,
128,3570.099,
129,3580.547,
130,3536.602,
131,3530.442,
132,3580.705,
133,3521.149,
134,3513.624,
135,3567.842,
