 ,Value,
1,3748.533,
2,3714.419,
3,3743.909,
4,3719.555,
5,3609.316,
6,3650.959,
7,3649.804,
8,3688.608,
9,3841.189,
10,3847.415,
11,3918.734,
12,4012.077,
13,3926.008,
14,3750.285,
15,3633.500,
16,3605.617,
17,3609.910,
18,3581.817,
19,3531.155,
20,3566.916,
21,3565.099,
22,3593.970,
23,3557.100,
24,3584.877,
25,3585.004,
26,3597.865,
27,3583.854,
28,3673.543,
29,3638.896,
30,3651.359,
31,3768.757,
32,3920.631,
33,4091.757,
34,4009.194,
35,3976.950,
36,3974.864,
37,3927.836,
38,3879.985,
39,3813.733,
40,3760.607,
41,3750.516,
42,3746.930,
43,3714.725,
44,3674.164,
45,3692.461,
46,3676.234,
47,3659.047,
48,3641.202,
49,3737.639,
50,3892.065,
51,3955.795,
52,3934.279,
53,3885.355,
54,3766.746,
55,3690.847,
56,3615.900,
57,3668.009,
58,3653.479,
59,3662.093,
60,3614.439,
61,3663.859,
62,3651.584,
63,3638.400,
64,3647.224,
65,3724.744,
66,3696.735,
67,3740.786,
68,3566.443,
69,3585.480,
70,3654.729,
71,3535.639,
72,3586.886,
73,3623.489,
74,3511.986,
75,3662.620,
76,3624.482,
77,3612.438,
78,3703.954,
79,3707.437,
80,3528.832,
81,3560.410,
82,3651.443,
83,3668.349,
84,3518.695,
85,3567.902,
86,3529.574,
87,3531.048,
88,3591.781,
89,3608.032,
90,3543.997,
91,3559.713,
92,3528.304,
93,3510.992,
94,3537.516,
95,3545.617,
96,3605.490,
97,3626.407,
98,3544.125,
99,3522.553,
100,3580.617,
101,3566.949,
102,3559.733,
103,3538.849,
104,3592.129,
105,3535.819,
106,3615.564,
107,3594.440,
108,3601.484,
109,3542.857,
110,3586.758,
111,3558.414,
112,3528.001,
113,3561.079,
114,3551.173,
115,3580.177,
116,3545.314,
117,3595.762,
118,3612.495,
119,3559.276,
120,3512.029,
121,3560.034,
122,3534.309,
123,3557.282,
124,3627.316,
125,3575.568,
