X	Y	
160.167	539.833	
159.785	538.910	
159.402	537.986	
159.019	537.063	
158.634	536.141	
158.248	535.219	
157.860	534.298	
157.469	533.378	
157.076	532.459	
156.680	531.542	
156.280	530.625	
155.878	529.711	
155.472	528.798	
155.062	527.886	
154.648	526.976	
154.231	526.068	
153.810	525.161	
153.385	524.257	
152.957	523.354	
152.526	522.452	
152.093	521.551	
151.660	520.651	
151.226	519.750	
150.792	518.850	
150.359	517.949	
149.928	517.047	
149.498	516.145	
149.071	515.241	
148.647	514.336	
148.225	513.430	
147.808	512.522	
147.395	511.612	
146.985	510.700	
146.581	509.786	
146.181	508.870	
145.787	507.952	
145.399	507.031	
145.016	506.108	
144.640	505.182	
144.270	504.253	
143.907	503.322	
143.550	502.388	
143.201	501.452	
142.860	500.512	
142.526	499.570	
142.200	498.626	
141.882	497.678	
141.573	496.728	
141.272	495.775	
140.980	494.819	
140.696	493.860	
140.421	492.900	
140.154	491.937	
139.895	490.971	
139.644	490.004	
139.401	489.034	
139.167	488.063	
138.940	487.089	
138.722	486.114	
138.511	485.137	
138.308	484.158	
138.113	483.178	
137.926	482.196	
137.748	481.213	
137.576	480.228	
137.413	479.242	
137.257	478.255	
137.110	477.266	
136.970	476.277	
136.838	475.286	
136.714	474.294	
136.598	473.302	
136.490	472.308	
136.390	471.314	
136.298	470.318	
136.214	469.323	
136.139	468.326	
136.071	467.329	
136.011	466.331	
135.960	465.333	
135.918	464.334	
135.883	463.336	
135.857	462.336	
135.840	461.337	
135.831	460.338	
135.831	459.338	
135.839	458.339	
135.857	457.340	
135.883	456.341	
135.919	455.342	
135.963	454.343	
136.017	453.345	
136.080	452.348	
136.152	451.351	
136.234	450.355	
136.326	449.360	
136.427	448.365	
136.536	447.372	
136.655	446.379	
136.782	445.388	
136.917	444.398	
137.061	443.409	
137.212	442.421	
137.372	441.434	
137.539	440.449	
137.713	439.465	
137.895	438.482	
138.084	437.501	
138.279	436.520	
138.481	435.542	
138.690	434.564	
138.904	433.588	
139.124	432.613	
139.350	431.639	
139.582	430.667	
139.819	429.696	
140.061	428.726	
140.307	427.758	
140.559	426.791	
140.815	425.825	
141.075	424.860	
141.340	423.896	
141.608	422.933	
141.880	421.971	
142.156	421.011	
142.435	420.051	
142.717	419.092	
143.001	418.134	
143.289	417.177	
143.579	416.220	
143.872	415.265	
144.166	414.310	
144.463	413.355	
144.762	412.401	
145.062	411.448	
145.364	410.495	
145.666	409.543	
145.970	408.591	
146.275	407.639	
146.581	406.687	
146.887	405.736	
147.193	404.785	
147.500	403.833	
