 ,Value,
1,3720.766,
2,3636.509,
3,3610.452,
4,3584.069,
5,3744.007,
6,3842.616,
7,3856.684,
8,3807.814,
9,3819.324,
10,3764.492,
11,3720.701,
12,3695.050,
13,3618.151,
14,3601.726,
15,3659.145,
16,3598.277,
17,3622.489,
18,3651.046,
19,3587.793,
20,3617.087,
21,3621.218,
22,3566.310,
23,3581.898,
24,3614.630,
25,3667.442,
26,3619.224,
27,3750.910,
28,3775.882,
29,3693.353,
30,3775.230,
31,3946.260,
32,3859.356,
33,3896.142,
34,3972.719,
35,3979.573,
36,3910.092,
37,3945.687,
38,3954.409,
39,3983.442,
40,3974.519,
41,3942.738,
42,3988.520,
43,3830.106,
44,3725.284,
45,3768.098,
46,3798.678,
47,3735.334,
48,3837.359,
49,3780.552,
50,3926.579,
51,3946.836,
52,3952.694,
53,3837.708,
54,3745.245,
55,3647.283,
56,3698.394,
57,3712.639,
58,3717.466,
59,3693.865,
60,3689.736,
61,3735.036,
62,3745.608,
63,3786.313,
64,3923.953,
65,3884.852,
66,3867.903,
67,3688.598,
68,3718.260,
69,3716.748,
70,3770.592,
71,3696.397,
72,3760.753,
73,3759.004,
74,3712.284,
75,3677.136,
76,3590.011,
77,3578.255,
78,3514.646,
79,3618.488,
80,3648.239,
81,3609.709,
82,3540.731,
83,3577.607,
84,3533.608,
85,3592.224,
86,3644.276,
87,3569.648,
88,3684.032,
89,3556.809,
90,3554.810,
91,3543.527,
92,3609.642,
93,3608.394,
94,3535.449,
95,3559.705,
96,3509.433,
97,3517.205,
98,3511.416,
99,3571.628,
100,3591.843,
101,3508.373,
102,3570.760,
103,3541.117,
104,3579.236,
105,3569.756,
106,3535.186,
107,3560.805,
108,3581.323,
109,3582.180,
110,3579.417,
111,3549.069,
112,3588.889,
113,3616.070,
114,3589.408,
115,3567.878,
116,3547.975,
117,3527.598,
118,3481.486,
119,3549.804,
120,3584.834,
121,3559.465,
122,3546.418,
123,3653.293,
124,3601.022,
125,3584.103,
126,3591.666,
127,3579.550,
128,3606.307,
129,3581.521,
130,3560.330,
131,3508.942,
132,3575.307,
133,3565.500,
134,3574.130,
135,3604.076,
136,3536.794,
137,3621.675,
138,3498.864,
139,3541.622,
140,3474.665,
141,3555.231,
142,3563.729,
143,3615.332,
144,3555.080,
145,3525.259,
