 ,Value,
1,3751.997,
2,3842.061,
3,3821.195,
4,3724.503,
5,3676.977,
6,3685.257,
7,3667.399,
8,3669.430,
9,3646.185,
10,3750.397,
11,3670.251,
12,3657.239,
13,3654.541,
14,3623.362,
15,3610.749,
16,3624.727,
17,3661.383,
18,3644.406,
19,3642.347,
20,3669.374,
21,3724.079,
22,3712.593,
23,3771.757,
24,3720.572,
25,3797.064,
26,3759.627,
27,3697.027,
28,3732.899,
29,3670.738,
30,3678.139,
31,3580.749,
32,3682.425,
33,3707.150,
34,3804.439,
35,3770.397,
36,3779.749,
37,3910.858,
38,3962.152,
39,3970.813,
40,3898.941,
41,3940.983,
42,3916.375,
43,3859.991,
44,3722.908,
45,3750.270,
46,3702.006,
47,3656.058,
48,3654.254,
49,3656.527,
50,3645.007,
51,3718.530,
52,3737.875,
53,3704.836,
54,3672.180,
55,3751.532,
56,3735.371,
57,3731.777,
58,3762.105,
59,3781.961,
60,4025.924,
61,4014.057,
62,3867.156,
63,3851.021,
64,3919.783,
65,4040.461,
66,3993.273,
67,4016.150,
68,4020.980,
69,3874.932,
70,3959.374,
71,3931.678,
72,3906.792,
73,3853.323,
74,3849.268,
75,3778.597,
76,3838.679,
77,3893.914,
78,3781.651,
79,3756.981,
80,3797.014,
81,3680.845,
82,3636.637,
83,3720.818,
84,3681.363,
85,3688.279,
86,3665.460,
87,3683.004,
88,3628.845,
89,3845.627,
90,3964.563,
91,4000.584,
92,3994.778,
93,4001.437,
94,3907.528,
95,3948.098,
96,3890.097,
97,3781.585,
98,3793.772,
99,3813.331,
100,3726.486,
101,3672.599,
102,3650.466,
103,3706.367,
104,3707.389,
105,3700.511,
106,3673.816,
107,3657.391,
108,3670.187,
109,3657.149,
110,3679.049,
111,3708.701,
112,3628.447,
113,3636.165,
114,3605.537,
115,3633.950,
116,3606.799,
117,3633.110,
118,3730.425,
119,3735.709,
120,3775.899,
121,3743.817,
122,3772.954,
123,3706.811,
124,3749.146,
125,3666.253,
126,3741.295,
127,3644.671,
128,3615.122,
129,3588.498,
130,3639.731,
131,3670.487,
132,3587.048,
133,3620.022,
134,3574.761,
135,3602.314,
