X	Y	
158.833	483.167	
158.655	482.183	
158.476	481.200	
158.298	480.216	
158.118	479.233	
157.938	478.250	
157.758	477.267	
157.576	476.284	
157.393	475.301	
157.209	474.319	
157.024	473.337	
156.837	472.355	
156.648	471.374	
156.457	470.393	
156.263	469.412	
156.068	468.432	
155.869	467.452	
155.668	466.473	
155.463	465.495	
155.255	464.517	
155.043	463.541	
154.826	462.565	
154.605	461.590	
154.379	460.616	
154.147	459.644	
153.909	458.673	
153.665	457.704	
153.413	456.737	
153.153	455.772	
152.884	454.809	
152.604	453.850	
152.314	452.893	
152.013	451.940	
151.701	450.991	
151.379	450.045	
151.049	449.101	
150.714	448.160	
150.373	447.220	
150.030	446.281	
149.687	445.342	
149.346	444.403	
149.008	443.462	
148.676	442.519	
148.350	441.574	
148.033	440.627	
147.724	439.676	
147.426	438.722	
147.138	437.765	
146.860	436.805	
146.592	435.842	
146.336	434.876	
146.089	433.908	
145.851	432.937	
145.622	431.964	
145.401	430.989	
145.188	430.012	
144.983	429.034	
144.784	428.055	
144.593	427.074	
144.408	426.091	
144.231	425.108	
144.059	424.123	
143.894	423.137	
143.735	422.151	
143.583	421.163	
143.436	420.174	
143.296	419.184	
143.161	418.194	
143.033	417.203	
142.910	416.211	
142.793	415.218	
142.683	414.225	
142.578	413.231	
142.479	412.236	
142.387	411.241	
142.300	410.245	
142.220	409.249	
142.146	408.252	
142.077	407.255	
142.016	406.258	
141.961	405.260	
141.912	404.261	
141.870	403.263	
141.834	402.264	
141.806	401.265	
141.784	400.266	
141.769	399.266	
141.762	398.267	
141.763	397.267	
141.770	396.268	
141.786	395.268	
141.809	394.269	
141.841	393.270	
141.881	392.271	
141.929	391.273	
141.987	390.275	
142.054	389.278	
142.129	388.281	
142.215	387.286	
142.311	386.291	
142.416	385.297	
142.531	384.304	
142.655	383.312	
142.789	382.322	
142.932	381.332	
143.084	380.345	
143.245	379.358	
143.415	378.373	
143.594	377.390	
143.781	376.408	
143.976	375.428	
144.180	374.449	
144.392	373.473	
144.612	372.497	
144.839	371.524	
145.074	370.553	
145.316	369.583	
145.565	368.615	
145.821	367.649	
146.083	366.684	
146.352	365.722	
146.627	364.761	
146.908	363.802	
147.195	362.844	
147.487	361.888	
147.785	360.934	
148.088	359.982	
148.395	359.030	
148.707	358.081	
149.023	357.133	
149.344	356.186	
149.668	355.241	
149.996	354.297	
150.327	353.354	
150.662	352.412	
150.999	351.471	
151.339	350.531	
151.682	349.592	
152.027	348.654	
152.373	347.716	
152.721	346.779	
153.071	345.843	
153.422	344.907	
153.774	343.972	
154.127	343.037	
154.480	342.102	
154.833	341.167	
