 ,Value,
1,3759.862,
2,3786.539,
3,3805.797,
4,3892.486,
5,3898.463,
6,3844.147,
7,3802.404,
8,3688.523,
9,3608.594,
10,3633.164,
11,3617.855,
12,3635.030,
13,3709.840,
14,3610.332,
15,3583.565,
16,3667.979,
17,3673.024,
18,3615.014,
19,3594.402,
20,3563.267,
21,3625.290,
22,3580.858,
23,3570.950,
24,3648.298,
25,3575.098,
26,3578.527,
27,3612.800,
28,3724.538,
29,3747.235,
30,3760.535,
31,3778.199,
32,3570.709,
33,3631.314,
34,3549.474,
35,3616.377,
36,3624.251,
37,3626.844,
38,3640.958,
39,3718.338,
40,3716.128,
41,3809.509,
42,3717.757,
43,3755.103,
44,3782.294,
45,3797.006,
46,3686.564,
47,3682.462,
48,3761.460,
49,3762.308,
50,3633.900,
51,3642.607,
52,3584.587,
53,3655.752,
54,3618.695,
55,3666.664,
56,3737.936,
57,3797.424,
58,3821.914,
59,3793.177,
60,3781.626,
61,3709.190,
62,3675.590,
63,3665.806,
64,3645.784,
65,3826.499,
66,4014.301,
67,4089.679,
68,4164.599,
69,4216.234,
70,4133.825,
71,4118.599,
72,3921.356,
73,3907.720,
74,3729.754,
75,3765.233,
76,3739.755,
77,3627.077,
78,3674.757,
79,3706.229,
80,3743.117,
81,3726.723,
82,3683.549,
83,3667.778,
84,3665.519,
85,3655.232,
86,3624.201,
87,3598.522,
88,3608.142,
89,3595.361,
90,3631.337,
91,3860.131,
92,4024.994,
93,4051.832,
94,4038.907,
95,4016.672,
96,3933.678,
97,3866.579,
98,3821.897,
99,3677.742,
100,3664.655,
101,3673.924,
102,3634.514,
103,3758.366,
104,3725.983,
105,3680.452,
106,3746.719,
107,3756.200,
108,3855.228,
109,3702.157,
110,3781.510,
111,3668.929,
112,3665.346,
113,3675.995,
114,3670.472,
115,3642.418,
116,3753.242,
117,3726.515,
118,3691.516,
119,3712.204,
120,3651.233,
121,3728.405,
122,3722.758,
123,3741.700,
124,3815.365,
125,3708.892,
126,3640.534,
127,3693.642,
128,3579.180,
129,3613.936,
130,3674.258,
131,3637.900,
132,3632.239,
133,3704.871,
134,3665.548,
135,3651.048,
136,3617.173,
137,3618.749,
138,3638.238,
139,3635.971,
140,3612.902,
141,3612.823,
142,3597.467,
143,3641.004,
144,3636.923,
145,3711.978,
146,3759.393,
147,3750.959,
148,3737.570,
149,3731.835,
150,3638.882,
151,3629.307,
