 ,Value,
1,3635.059,
2,3766.785,
3,3754.738,
4,3794.095,
5,3844.222,
6,4000.445,
7,4037.293,
8,3958.947,
9,3928.229,
10,3864.101,
11,3820.054,
12,3759.315,
13,3684.960,
14,3693.681,
15,3724.747,
16,3794.993,
17,3881.778,
18,3714.251,
19,3775.429,
20,3821.747,
21,3739.551,
22,3701.372,
23,3725.805,
24,3860.336,
25,3953.018,
26,3870.162,
27,3881.226,
28,3861.886,
29,3829.390,
30,3856.461,
31,3893.564,
32,3979.791,
33,3971.609,
34,3959.729,
35,3911.583,
36,3984.057,
37,4052.536,
38,3865.202,
39,3761.636,
40,3766.009,
41,3848.646,
42,3960.609,
43,3879.922,
44,3855.438,
45,3825.231,
46,3975.006,
47,3831.204,
48,3814.594,
49,3823.199,
50,3803.623,
51,3820.054,
52,3677.637,
53,3644.883,
54,3783.917,
55,3720.538,
56,3754.088,
57,3911.563,
58,3946.970,
59,3931.544,
60,3867.984,
61,3898.776,
62,3853.049,
63,3821.818,
64,3948.694,
65,3958.539,
66,4182.459,
67,4400.345,
68,4388.197,
69,4155.955,
70,3936.888,
71,3877.097,
72,3855.921,
73,3823.961,
74,3776.859,
75,3780.009,
76,3903.931,
77,3972.254,
78,4028.294,
79,4025.088,
80,3922.511,
81,3791.257,
82,3713.124,
83,3647.138,
84,3630.261,
85,3684.474,
86,3658.113,
87,3622.287,
88,3602.524,
89,3640.821,
90,3607.691,
91,3607.905,
92,3612.226,
93,3638.008,
94,3642.932,
95,3721.518,
96,3733.983,
97,3710.292,
98,3700.785,
99,3714.701,
100,3722.667,
101,3747.984,
102,3696.463,
103,3684.701,
104,3676.348,
105,3713.544,
106,3699.316,
107,3755.262,
108,3686.312,
109,3614.537,
110,3671.391,
111,3654.661,
112,3626.796,
113,3642.406,
114,3591.190,
115,3587.548,
116,3623.509,
117,3602.588,
118,3589.921,
119,3619.337,
120,3632.427,
121,3576.410,
122,3578.227,
123,3656.966,
124,3682.838,
125,3625.285,
126,3574.976,
127,3661.025,
128,3693.305,
129,3661.210,
130,3540.586,
131,3588.237,
132,3607.232,
133,3587.350,
134,3547.507,
135,3543.582,
136,3613.883,
137,3577.911,
138,3577.076,
139,3614.463,
140,3659.379,
141,3667.622,
142,3657.511,
143,3706.855,
144,3623.562,
145,3607.128,
146,3636.722,
147,3707.855,
