 ,Value,
1,3708.247,
2,3687.636,
3,3708.516,
4,3657.643,
5,3701.484,
6,3826.955,
7,3828.280,
8,3859.555,
9,3763.269,
10,3912.557,
11,3748.842,
12,3689.674,
13,3611.040,
14,3680.059,
15,3630.641,
16,3613.360,
17,3592.632,
18,3591.689,
19,3633.432,
20,3574.800,
21,3545.931,
22,3546.832,
23,3503.789,
24,3568.715,
25,3533.512,
26,3614.708,
27,3564.930,
28,3638.297,
29,3594.301,
30,3563.482,
31,3665.314,
32,3720.463,
33,3690.852,
34,3693.620,
35,3591.014,
36,3614.738,
37,3588.175,
38,3639.669,
39,3619.853,
40,3650.668,
41,3608.439,
42,3676.211,
43,3695.686,
44,3634.226,
45,3702.417,
46,3717.520,
47,3853.544,
48,3719.067,
49,3742.373,
50,3830.334,
51,3807.941,
52,3772.785,
53,3742.306,
54,3666.518,
55,3716.091,
56,3688.250,
57,3722.380,
58,3761.078,
59,3918.018,
60,3811.430,
61,3768.648,
62,3769.925,
63,3744.462,
64,3750.810,
65,3715.625,
66,3779.125,
67,3786.735,
68,3883.514,
69,3947.507,
70,3907.236,
71,3853.152,
72,3918.619,
73,3964.101,
74,3920.905,
75,3798.316,
76,3789.744,
77,3778.347,
78,3764.102,
79,3709.448,
80,3694.406,
81,3650.426,
82,3744.584,
83,3647.089,
84,3685.751,
85,3602.125,
86,3547.658,
87,3541.506,
88,3666.112,
89,3599.945,
90,3670.999,
91,3677.957,
92,3649.104,
93,3758.567,
94,3777.113,
95,3908.715,
96,3933.506,
97,3815.897,
98,3812.952,
99,3824.132,
100,3751.029,
101,3738.326,
102,3622.871,
103,3665.886,
104,3660.365,
105,3650.406,
106,3709.406,
107,3724.189,
108,3606.498,
109,3702.207,
110,3656.889,
111,3661.056,
112,3653.240,
113,3668.658,
114,3770.171,
115,3726.205,
116,3689.222,
117,3669.081,
118,3681.491,
119,3646.851,
120,3696.281,
121,3610.136,
122,3658.205,
123,3654.530,
124,3710.022,
125,3813.410,
126,3823.042,
127,3734.034,
128,3688.951,
129,3753.164,
130,3668.084,
131,3610.221,
132,3658.670,
133,3649.008,
134,3638.177,
135,3717.183,
136,3691.842,
137,3615.119,
138,3651.606,
139,3631.669,
140,3577.261,
141,3579.878,
142,3616.725,
143,3590.114,
144,3588.440,
145,3606.666,
146,3611.918,
147,3665.343,
148,3654.442,
149,3618.982,
150,3599.495,
151,3659.200,
152,3607.083,
153,3627.490,
154,3586.146,
155,3625.450,
156,3648.433,
157,3585.937,
158,3594.383,
159,3572.809,
160,3647.779,
