 ,Value,
1,3650.152,
2,3830.593,
3,3762.951,
4,3986.367,
5,3998.280,
6,3943.803,
7,3820.990,
8,3712.941,
9,3705.609,
10,3711.562,
11,3736.334,
12,3689.307,
13,3758.514,
14,3695.122,
15,3613.008,
16,3616.317,
17,3605.996,
18,3690.389,
19,3635.986,
20,3633.488,
21,3639.067,
22,3667.702,
23,3691.985,
24,3675.494,
25,3699.298,
26,3668.046,
27,3637.611,
28,3689.176,
29,3737.415,
30,3652.799,
31,3640.215,
32,3595.121,
33,3686.321,
34,3614.834,
35,3571.235,
36,3582.916,
37,3653.997,
38,3746.064,
39,3801.286,
40,3924.855,
41,3827.290,
42,3804.598,
43,3893.475,
44,3788.290,
45,3831.270,
46,3847.185,
47,3825.055,
48,3738.582,
49,3679.678,
50,3604.100,
51,3699.593,
52,3723.569,
53,3693.944,
54,3620.543,
55,3654.272,
56,3628.194,
57,3683.546,
58,3733.253,
59,3662.359,
60,3622.499,
61,3630.376,
62,3716.206,
63,3763.090,
64,3890.822,
65,4026.785,
66,4144.580,
67,4254.890,
68,4268.977,
69,4263.346,
70,4311.614,
71,4226.315,
72,4067.715,
73,3929.953,
74,3871.897,
75,3825.250,
76,3798.777,
77,3807.078,
78,3809.275,
79,3772.121,
80,3737.557,
81,3689.948,
82,3785.895,
83,3747.740,
84,3717.782,
85,3656.730,
86,3639.527,
87,3660.632,
88,3714.376,
89,3778.502,
90,3846.769,
91,3817.148,
92,3905.522,
93,3963.879,
94,3948.719,
95,4002.869,
96,4067.982,
97,4080.646,
98,3970.466,
99,3833.979,
100,3756.836,
101,3742.857,
102,3756.822,
103,3741.118,
104,3742.271,
105,3728.951,
106,3774.048,
107,3676.597,
108,3731.061,
109,3777.131,
110,3687.282,
111,3637.516,
112,3610.445,
113,3705.673,
114,3680.022,
115,3679.035,
116,3698.798,
117,3646.460,
118,3768.087,
119,3732.397,
120,3643.571,
121,3749.093,
122,3718.584,
123,3771.240,
124,3792.658,
125,3780.494,
126,3790.538,
127,3717.350,
128,3676.737,
129,3694.593,
130,3714.473,
131,3737.649,
132,3716.718,
133,3700.927,
134,3697.973,
135,3664.349,
136,3661.874,
137,3676.702,
138,3601.569,
139,3648.887,
140,3661.284,
141,3755.350,
142,3755.914,
143,3680.608,
144,3632.177,
145,3699.455,
146,3696.724,
147,3601.435,
148,3695.079,
149,3733.050,
150,3701.003,
