 ,Value,
1,3681.422,
2,3674.345,
3,3639.922,
4,3568.830,
5,3580.222,
6,3676.290,
7,3640.697,
8,3669.202,
9,3663.890,
10,3712.816,
11,3716.418,
12,3622.461,
13,3591.396,
14,3612.606,
15,3646.905,
16,3663.010,
17,3644.913,
18,3627.065,
19,3617.577,
20,3571.420,
21,3568.551,
22,3495.025,
23,3573.086,
24,3558.974,
25,3588.490,
26,3691.347,
27,3653.512,
28,3647.290,
29,3666.964,
30,3689.887,
31,3743.031,
32,3728.516,
33,3752.631,
34,3913.802,
35,3932.678,
36,3947.123,
37,3798.198,
38,3795.608,
39,3760.501,
40,3716.489,
41,3656.177,
42,3633.510,
43,3663.124,
44,3657.017,
45,3674.523,
46,3674.979,
47,3644.022,
48,3661.141,
49,3688.816,
50,3728.263,
51,3811.368,
52,3955.269,
53,3828.551,
54,3755.961,
55,3695.979,
56,3670.996,
57,3641.072,
58,3673.061,
59,3646.084,
60,3628.400,
61,3725.803,
62,3714.206,
63,3690.052,
64,3700.725,
65,3710.247,
66,3658.622,
67,3614.190,
68,3613.718,
69,3620.939,
70,3632.726,
71,3615.385,
72,3592.578,
73,3591.079,
74,3550.845,
75,3601.061,
76,3639.545,
77,3593.131,
78,3636.800,
79,3632.970,
80,3620.613,
81,3565.879,
82,3588.529,
83,3633.530,
84,3590.016,
85,3531.357,
86,3566.070,
87,3583.014,
88,3539.082,
89,3550.736,
90,3527.588,
91,3615.127,
92,3567.714,
93,3548.048,
94,3523.393,
95,3461.682,
96,3574.653,
97,3516.382,
98,3526.978,
99,3542.932,
100,3520.774,
101,3523.371,
102,3561.894,
103,3606.793,
104,3564.156,
105,3594.946,
106,3550.255,
107,3510.486,
108,3516.256,
109,3549.502,
110,3493.754,
111,3518.723,
112,3522.955,
113,3476.545,
114,3616.149,
115,3572.833,
116,3514.370,
117,3517.566,
118,3599.892,
119,3558.470,
120,3606.744,
121,3531.219,
122,3545.920,
123,3557.752,
124,3503.324,
125,3487.051,
126,3538.426,
127,3531.545,
128,3618.515,
129,3580.792,
130,3523.287,
131,3537.425,
