 ,Value,
1,3670.587,
2,3679.468,
3,3650.177,
4,3587.433,
5,3600.867,
6,3650.556,
7,3759.033,
8,3742.478,
9,3671.627,
10,3606.407,
11,3664.429,
12,3728.232,
13,3762.507,
14,3679.767,
15,3585.455,
16,3561.959,
17,3578.203,
18,3551.834,
19,3569.434,
20,3536.979,
21,3566.021,
22,3514.920,
23,3614.163,
24,3649.417,
25,3582.946,
26,3566.707,
27,3583.083,
28,3638.001,
29,3695.983,
30,3609.012,
31,3566.215,
32,3641.360,
33,3682.242,
34,3709.817,
35,3775.910,
36,3756.099,
37,3732.828,
38,3769.665,
39,3869.154,
40,3850.639,
41,3828.441,
42,3852.674,
43,3851.126,
44,3802.116,
45,3715.502,
46,3679.972,
47,3677.384,
48,3711.122,
49,3728.886,
50,3793.512,
51,3911.123,
52,4050.955,
53,3956.251,
54,3970.068,
55,3826.566,
56,3696.399,
57,3708.139,
58,3694.639,
59,3716.949,
60,3674.119,
61,3736.108,
62,3699.478,
63,3653.667,
64,3700.135,
65,3721.701,
66,3747.933,
67,3708.386,
68,3720.491,
69,3682.002,
70,3635.805,
71,3661.031,
72,3642.563,
73,3626.225,
74,3637.460,
75,3645.299,
76,3665.459,
77,3629.607,
78,3592.719,
79,3649.378,
80,3627.966,
81,3599.321,
82,3582.292,
83,3629.814,
84,3678.243,
85,3662.081,
86,3611.112,
87,3623.417,
88,3631.286,
89,3612.465,
90,3588.013,
91,3579.383,
92,3543.534,
93,3576.752,
94,3582.203,
95,3570.342,
96,3640.871,
97,3583.121,
98,3545.728,
99,3593.061,
100,3618.550,
101,3591.988,
102,3538.816,
103,3567.801,
104,3512.762,
105,3570.603,
106,3514.347,
107,3521.425,
108,3526.454,
109,3581.010,
110,3537.931,
111,3555.511,
112,3556.617,
113,3520.491,
114,3560.648,
115,3607.579,
116,3532.273,
117,3575.448,
118,3569.986,
119,3551.346,
120,3679.038,
121,3622.515,
122,3511.081,
123,3502.678,
124,3552.275,
125,3517.387,
126,3569.556,
127,3526.505,
128,3543.172,
129,3568.524,
130,3563.137,
131,3554.649,
132,3557.020,
133,3591.178,
134,3515.131,
135,3486.060,
136,3486.295,
137,3517.156,
138,3561.754,
139,3572.052,
140,3513.114,
