 ,Value,
1,3806.613,
2,3854.142,
3,3920.856,
4,3973.134,
5,4012.619,
6,3909.072,
7,3825.161,
8,3734.334,
9,3633.107,
10,3579.422,
11,3692.248,
12,3591.662,
13,3613.978,
14,3620.632,
15,3600.415,
16,3578.908,
17,3646.280,
18,3617.449,
19,3667.297,
20,3808.876,
21,3835.486,
22,3733.312,
23,3731.943,
24,3675.132,
25,3739.633,
26,3875.051,
27,4014.912,
28,3990.146,
29,3905.331,
30,3731.282,
31,3716.658,
32,3689.613,
33,3679.275,
34,3694.372,
35,3656.770,
36,3702.268,
37,3672.747,
38,3652.403,
39,3747.494,
40,3727.149,
41,3718.618,
42,3747.157,
43,3792.079,
44,3731.698,
45,3733.071,
46,3691.599,
47,3585.560,
48,3633.896,
49,3687.812,
50,3659.556,
51,3658.815,
52,3692.986,
53,3639.718,
54,3696.589,
55,3693.484,
56,3645.483,
57,3620.291,
58,3563.772,
59,3636.826,
60,3677.472,
61,3677.842,
62,3625.690,
63,3606.500,
64,3610.706,
65,3586.496,
66,3552.106,
67,3583.170,
68,3646.831,
69,3688.672,
70,3619.864,
71,3622.115,
72,3671.735,
73,3583.138,
74,3664.577,
75,3615.001,
76,3713.648,
77,3747.059,
78,3611.523,
79,3644.214,
80,3603.783,
81,3652.575,
82,3510.594,
83,3596.760,
84,3613.517,
85,3534.692,
86,3574.630,
87,3604.436,
88,3681.692,
89,3699.914,
90,3618.675,
91,3512.146,
92,3507.248,
93,3544.923,
94,3577.816,
95,3594.274,
96,3608.289,
97,3617.522,
98,3573.497,
99,3612.357,
100,3586.923,
101,3553.358,
102,3597.244,
103,3579.882,
104,3560.874,
105,3569.845,
106,3601.655,
107,3606.957,
108,3566.426,
109,3551.516,
110,3573.790,
111,3596.805,
112,3642.313,
113,3592.591,
114,3588.939,
115,3545.768,
116,3553.942,
117,3531.059,
118,3579.981,
119,3632.068,
120,3544.830,
121,3586.969,
122,3581.797,
123,3567.813,
124,3487.774,
125,3583.876,
126,3606.467,
127,3579.220,
