 ,Value
1,3455.467
2,3486.093
3,3497.190
4,3514.771
5,3540.775
6,3484.498
7,3530.691
8,3517.827
9,3483.169
10,3532.531
11,3491.927
12,3526.538
13,3532.665
14,3567.836
15,3528.353
16,3537.360
17,3537.369
18,3555.934
19,3545.171
20,3588.117
21,3557.276
22,3640.112
23,3578.959
24,3570.457
25,3613.273
26,3536.389
27,3557.598
28,3629.653
29,3621.576
30,3648.005
31,3675.863
32,3678.981
33,3653.078
34,3614.311
35,3584.905
36,3588.602
37,3550.411
38,3571.482
39,3550.997
40,3543.735
41,3563.775
42,3567.260
43,3507.292
44,3531.439
45,3555.913
46,3537.050
47,3505.631
48,3488.662
49,3584.754
50,3500.487
51,3495.875
52,3481.406
53,3557.522
54,3607.801
55,3545.394
56,3571.933
57,3647.520
58,3560.573
59,3559.834
60,3609.025
61,3614.748
62,3647.816
63,3592.323
64,3599.695
65,3533.971
66,3614.905
67,3532.455
68,3436.615
