 ,Value,
1,3724.094,
2,3618.023,
3,3629.399,
4,3766.107,
5,3759.848,
6,3796.127,
7,3824.162,
8,3931.672,
9,3939.651,
10,3856.379,
11,3850.736,
12,3776.976,
13,3804.818,
14,3779.153,
15,3784.306,
16,3669.016,
17,3720.206,
18,3682.791,
19,3685.827,
20,3734.627,
21,3831.928,
22,3723.333,
23,3806.890,
24,3813.314,
25,3714.170,
26,3827.122,
27,3841.223,
28,3782.533,
29,3812.111,
30,3838.398,
31,3815.841,
32,3819.940,
33,3844.163,
34,3741.933,
35,3840.255,
36,3865.465,
37,3915.301,
38,3816.997,
39,3854.475,
40,3789.363,
41,3848.386,
42,3864.543,
43,3904.264,
44,3881.773,
45,3978.266,
46,3888.811,
47,4007.961,
48,3950.877,
49,3893.768,
50,3818.015,
51,3716.687,
52,3761.969,
53,3673.229,
54,3754.134,
55,3767.545,
56,3817.103,
57,3811.681,
58,3949.882,
59,3912.506,
60,3830.858,
61,3802.533,
62,3852.837,
63,3814.798,
64,3753.148,
65,3818.467,
66,3949.569,
67,4096.633,
68,4140.938,
69,4256.003,
70,4434.365,
71,4075.359,
72,3870.429,
73,3723.304,
74,3798.343,
75,3873.524,
76,3881.881,
77,3878.166,
78,3941.769,
79,4025.947,
80,4161.783,
81,3992.069,
82,3906.162,
83,3806.317,
84,3664.277,
85,3706.163,
86,3701.686,
87,3535.552,
88,3655.891,
89,3561.236,
90,3570.864,
91,3567.999,
92,3577.865,
93,3602.989,
94,3581.708,
95,3599.846,
96,3790.875,
97,3731.092,
98,3721.879,
99,3663.008,
100,3775.416,
101,3746.682,
102,3666.727,
103,3688.052,
104,3676.989,
105,3664.347,
106,3650.957,
107,3719.229,
108,3695.962,
109,3736.994,
110,3635.834,
111,3603.326,
112,3670.166,
113,3657.429,
114,3695.792,
115,3689.825,
116,3665.298,
117,3595.313,
118,3597.137,
119,3596.200,
120,3606.031,
121,3609.294,
122,3547.419,
123,3607.819,
124,3669.689,
125,3618.863,
126,3680.337,
127,3692.099,
128,3729.457,
129,3683.723,
130,3672.880,
131,3654.030,
132,3730.309,
133,3658.526,
134,3720.483,
135,3615.096,
136,3619.676,
137,3687.540,
138,3696.034,
139,3689.031,
140,3593.963,
141,3688.401,
142,3714.078,
143,3651.961,
144,3699.086,
145,3671.264,
