X	Y	
158.833	591.167	
158.412	590.264	
157.990	589.361	
157.570	588.457	
157.152	587.552	
156.736	586.647	
156.323	585.740	
155.913	584.831	
155.508	583.921	
155.108	583.008	
154.713	582.093	
154.324	581.175	
153.943	580.255	
153.570	579.331	
153.206	578.403	
152.852	577.471	
152.509	576.536	
152.179	575.595	
151.862	574.650	
151.561	573.700	
151.277	572.745	
151.009	571.785	
150.757	570.821	
150.519	569.853	
150.294	568.883	
150.079	567.909	
149.873	566.934	
149.673	565.958	
149.477	564.981	
149.284	564.003	
149.092	563.025	
148.899	562.048	
148.704	561.070	
148.505	560.094	
148.302	559.118	
148.094	558.143	
147.881	557.170	
147.662	556.198	
147.436	555.227	
147.204	554.258	
146.967	553.290	
146.726	552.323	
146.482	551.357	
146.235	550.391	
145.987	549.426	
145.738	548.461	
145.488	547.496	
145.238	546.532	
144.988	545.567	
144.739	544.602	
144.492	543.637	
144.245	542.671	
144.001	541.705	
143.759	540.738	
143.519	539.771	
143.282	538.803	
143.048	537.834	
142.817	536.865	
142.590	535.894	
142.367	534.923	
142.148	533.951	
141.933	532.978	
141.723	532.003	
141.518	531.028	
141.317	530.052	
141.123	529.075	
140.934	528.096	
140.751	527.116	
140.574	526.136	
140.404	525.154	
140.241	524.171	
140.085	523.186	
139.936	522.201	
139.795	521.214	
139.661	520.227	
139.536	519.238	
139.420	518.248	
139.313	517.257	
139.215	516.266	
139.127	515.273	
139.049	514.280	
138.982	513.285	
138.925	512.290	
138.879	511.295	
138.846	510.299	
138.824	509.302	
138.814	508.306	
138.817	507.309	
138.831	506.313	
138.857	505.317	
138.895	504.321	
138.943	503.325	
139.004	502.331	
139.075	501.337	
139.155	500.343	
139.248	499.351	
139.350	498.360	
139.461	497.369	
139.583	496.380	
139.714	495.392	
139.853	494.406	
140.003	493.420	
140.160	492.436	
140.326	491.454	
140.500	490.472	
140.682	489.492	
140.872	488.514	
141.069	487.537	
141.272	486.562	
141.483	485.588	
141.701	484.615	
141.925	483.644	
142.155	482.674	
142.391	481.706	
142.632	480.739	
142.879	479.774	
143.131	478.809	
143.387	477.846	
143.649	476.885	
143.915	475.924	
144.185	474.965	
144.458	474.007	
144.736	473.050	
145.017	472.094	
145.302	471.138	
145.589	470.184	
145.879	469.231	
146.172	468.278	
146.467	467.326	
146.764	466.375	
147.063	465.424	
147.364	464.474	
147.667	463.525	
147.970	462.576	
148.275	461.627	
148.580	460.678	
148.887	459.730	
149.193	458.782	
149.500	457.833	
