 ,Value,
1,3721.403,
2,3659.694,
3,3726.726,
4,3857.246,
5,3996.906,
6,3925.085,
7,3911.026,
8,3832.201,
9,3712.608,
10,3638.742,
11,3642.002,
12,3770.928,
13,3807.791,
14,3776.706,
15,3753.710,
16,3692.968,
17,3652.089,
18,3658.233,
19,3698.299,
20,3658.131,
21,3623.978,
22,3651.610,
23,3659.017,
24,3632.623,
25,3639.223,
26,3659.586,
27,3719.184,
28,3638.314,
29,3723.888,
30,3739.537,
31,3783.594,
32,3618.944,
33,3599.280,
34,3666.664,
35,3692.192,
36,3669.624,
37,3652.182,
38,3645.752,
39,3671.136,
40,3676.619,
41,3852.465,
42,3949.796,
43,4000.938,
44,3920.676,
45,4026.289,
46,3981.447,
47,3864.520,
48,3868.321,
49,3701.822,
50,3684.364,
51,3624.047,
52,3641.415,
53,3625.878,
54,3636.658,
55,3672.688,
56,3768.277,
57,3659.489,
58,3701.467,
59,3665.135,
60,3668.025,
61,3710.551,
62,3734.131,
63,3779.821,
64,3812.462,
65,3900.252,
66,3924.904,
67,3879.405,
68,3892.228,
69,3934.214,
70,4163.777,
71,4264.558,
72,4160.509,
73,4215.496,
74,4087.275,
75,4033.743,
76,4036.155,
77,3901.994,
78,3874.669,
79,3911.557,
80,3899.008,
81,3835.048,
82,3789.690,
83,3734.583,
84,3671.324,
85,3662.489,
86,3694.633,
87,3617.110,
88,3579.592,
89,3657.884,
90,3719.983,
91,3797.117,
92,3769.034,
93,3669.339,
94,3766.325,
95,3857.202,
96,3921.164,
97,4009.146,
98,3997.109,
99,3948.989,
100,3972.379,
101,3919.944,
102,3842.670,
103,3795.450,
104,3711.271,
105,3678.853,
106,3736.799,
107,3793.682,
108,3831.152,
109,3792.522,
110,3749.276,
111,3704.575,
112,3750.879,
113,3699.951,
114,3734.570,
115,3707.732,
116,3668.998,
117,3746.334,
118,3799.308,
119,3633.665,
120,3686.569,
121,3713.747,
122,3704.422,
123,3735.863,
124,3785.478,
125,3822.407,
126,3674.459,
127,3569.582,
128,3669.653,
129,3673.232,
130,3623.779,
131,3630.380,
132,3602.816,
133,3651.542,
134,3640.716,
135,3646.245,
136,3617.125,
137,3681.342,
138,3624.875,
139,3585.675,
140,3661.364,
141,3629.867,
