 ,Value
1,3537.892
2,3528.626
3,3538.706
4,3459.956
5,3496.257
6,3505.868
7,3482.013
8,3508.299
9,3448.295
10,3556.418
11,3460.535
12,3434.551
13,3446.185
14,3419.113
15,3502.604
16,3463.163
17,3478.731
18,3493.217
19,3567.439
20,3497.708
21,3419.590
22,3461.777
23,3452.067
24,3454.661
25,3464.651
26,3505.414
27,3449.633
28,3476.365
29,3491.306
30,3447.464
31,3449.135
32,3513.834
33,3463.765
34,3410.022
35,3482.431
36,3469.137
37,3521.902
38,3563.165
39,3524.013
40,3477.088
41,3440.908
42,3497.063
43,3460.454
44,3527.362
45,3595.212
46,3593.840
47,3652.300
48,3527.935
49,3616.988
50,3542.565
51,3436.216
52,3393.382
53,3409.655
54,3415.331
55,3418.615
56,3462.573
57,3425.751
58,3432.359
59,3457.360
60,3404.069
61,3430.420
62,3433.162
63,3478.555
64,3475.649
65,3383.449
66,3485.632
67,3466.868
68,3428.057
69,3434.835
70,3485.098
71,3436.995
72,3452.693
73,3435.994
74,3444.389
75,3408.367
76,3461.031
77,3443.496
78,3343.034
79,3380.588
80,3394.873
81,3435.130
82,3481.954
83,3483.730
84,3517.396
85,3466.963
86,3459.699
87,3487.633
88,3503.330
89,3468.744
90,3521.442
91,3503.071
92,3510.974
93,3523.779
94,3485.006
95,3490.147
96,3413.602
97,3471.003
98,3462.314
99,3505.018
100,3435.191
101,3439.672
102,3491.128
103,3465.801
104,3480.197
105,3450.211
106,3499.315
107,3490.093
108,3501.356
109,3509.752
110,3520.980
111,3566.700
112,3631.713
113,3549.179
114,3587.973
115,3554.065
116,3554.870
117,3566.672
118,3578.067
119,3604.213
120,3573.128
121,3558.514
122,3453.449
123,3520.341
124,3462.986
125,3482.028
126,3523.279
127,3483.058
128,3449.233
129,3458.386
130,3491.758
131,3380.494
132,3478.145
