 ,Value
1,3525.686
2,3611.270
3,3543.646
4,3467.530
5,3469.272
6,3488.772
7,3516.605
8,3509.206
9,3563.224
10,3466.354
11,3480.654
12,3501.442
13,3557.891
14,3471.292
15,3484.313
16,3481.904
17,3466.019
18,3426.640
19,3429.489
20,3448.022
21,3458.157
22,3468.204
23,3438.574
24,3451.687
25,3491.842
26,3440.722
27,3475.524
28,3501.218
29,3458.319
30,3564.957
31,3508.431
32,3445.486
33,3516.832
34,3558.780
35,3567.313
36,3558.738
37,3579.132
38,3611.636
39,3531.746
40,3550.078
41,3610.954
42,3534.956
43,3523.926
44,3463.124
45,3546.029
46,3503.787
47,3590.602
48,3624.429
49,3519.944
50,3572.630
51,3595.167
52,3509.852
53,3470.411
54,3491.028
55,3500.892
56,3517.409
57,3416.872
58,3446.398
59,3499.828
60,3498.109
61,3434.220
62,3487.765
63,3424.590
64,3407.070
65,3454.063
66,3504.424
67,3460.412
68,3466.098
69,3434.661
70,3499.167
71,3468.687
72,3442.974
73,3465.973
74,3410.631
75,3432.270
76,3426.421
77,3487.780
78,3433.929
79,3459.664
80,3454.012
81,3490.936
82,3434.570
83,3431.492
84,3486.946
85,3440.038
86,3402.725
87,3530.715
88,3434.131
89,3436.368
90,3529.229
91,3512.468
92,3495.139
93,3479.086
94,3481.006
95,3448.356
96,3439.701
97,3486.904
98,3488.003
99,3393.533
100,3448.403
101,3413.507
102,3419.881
103,3472.164
104,3415.449
105,3431.228
106,3460.656
107,3460.848
108,3432.445
109,3463.897
110,3480.715
111,3560.327
112,3679.227
113,3581.048
114,3621.130
115,3653.696
116,3587.005
117,3511.679
118,3532.493
119,3535.485
120,3632.158
121,3545.551
122,3634.275
123,3601.461
124,3578.579
125,3503.684
126,3476.260
127,3514.167
128,3565.866
129,3514.814
130,3503.121
131,3478.816
132,3538.148
