[sec],Mean
0.000,3214.8921
14.855,3224.1946
29.709,3216.5427
44.564,3224.3389
59.419,3214.9800
74.273,3212.2754
89.128,3212.0623
103.983,3227.1084
118.837,3229.5793
133.692,3226.0840
148.547,3223.5210
163.401,3215.7307
178.256,3219.3550
193.111,3220.8538
207.965,3203.3442
222.820,3212.5493
237.675,3226.7439
252.529,3220.3630
267.384,3213.3079
282.239,3230.9211
297.093,3228.5732
311.948,3220.4792
326.803,3224.2729
341.657,3232.2791
356.512,3208.8757
371.367,3229.4543
386.221,3209.6377
401.076,3219.6033
415.931,3210.8196
430.785,3221.0337
445.640,3221.4502
460.495,3213.1973
475.349,3220.5439
490.204,3223.4666
505.059,3227.9873
519.913,3219.0891
534.768,3211.5071
549.623,3214.4790
564.477,3219.8296
579.332,3213.0168
594.187,3226.5864
609.041,3225.2258
623.896,3216.2524
638.751,3213.4146
653.605,3222.3428
668.460,3211.4285
683.315,3215.2996
698.169,3219.1768
713.024,3213.3093
727.879,3216.3806
742.733,3222.5730
757.588,3217.9072
772.443,3232.6543
787.297,3217.2947
802.152,3216.7878
817.007,3206.2693
831.861,3219.0352
846.716,3235.2859
861.571,3219.0259
876.425,3231.9124
891.280,3217.7170
906.135,3220.6106
920.989,3215.0466
935.844,3222.2146
950.699,3215.9622
965.553,3220.1782
980.408,3218.8657
995.263,3212.2664
1010.117,3219.8608
1024.972,3211.4321
1039.827,3226.0540
1054.681,3218.4158
1069.536,3231.6240
1084.391,3222.6816
1099.245,3215.8384
1114.100,3221.5693
1128.955,3224.3599
1143.809,3213.5168
1158.664,3226.8284
1173.519,3212.6277
1188.373,3219.5120
1203.228,3226.2097
1218.083,3223.7837
1232.937,3224.1687
1247.792,3226.8015
1262.647,3212.4368
1277.501,3228.1792
1292.356,3224.5789
1307.211,3213.9983
1322.065,3219.1079
1336.920,3216.5945
1351.775,3215.8862
1366.629,3224.6587
1381.484,3216.4385
1396.339,3223.3987
1411.193,3217.4121
1426.048,3223.7542
1440.903,3222.8340
1455.757,3227.3840
1470.612,3216.5371
1485.467,3218.1382
1500.321,3228.9458
1515.176,3214.3423
1530.031,3205.6624
1544.885,3213.8157
1559.740,3213.4854
1574.595,3221.4983
1589.449,3223.5142
1604.304,3222.1885
1619.159,3215.9429
1634.013,3217.0791
1648.868,3228.7954
1663.723,3221.2971
1678.577,3222.3262
1693.432,3217.3506
1708.287,3215.2629
1723.141,3211.4768
1737.996,3212.9702
1752.851,3226.3127
1767.705,3225.6790
1782.560,3210.9531
1797.415,3223.8193
1812.269,3209.8359
1827.124,3221.9395
1841.979,3226.9031
1856.833,3222.0071
1871.688,3231.0229
1886.543,3214.4817
1901.397,3213.6138
1916.252,3222.8179
1931.107,3218.6177
1945.961,3218.3557
1960.816,3228.5142
1975.671,3213.3689
1990.525,3204.9329
2005.380,3221.9314
2020.235,3219.5901
2035.089,3220.4631
2049.944,3222.2517
2064.799,3217.3416
2079.653,3216.6050
2094.508,3214.8596
2109.363,3216.1152
2124.217,3220.8936
2139.072,3219.7712
2153.927,3212.0398
2168.781,3215.6057
2183.636,3222.1790
2198.491,3210.5112
2213.345,3222.5664
2228.200,3232.8333
2243.055,3225.5469
2257.909,3232.0095
2272.764,3215.9185
2287.619,3216.0024
2302.473,3216.1267
2317.328,3216.9736
2332.183,3206.6794
2347.037,3224.8503
2361.892,3215.9639
2376.747,3221.5034
2391.601,3224.1038
2406.456,3217.3296
2421.311,3223.3123
2436.165,3230.9390
2451.020,3223.5266
2465.875,3221.8918
2480.729,3219.8286
2495.584,3226.9658
2510.439,3218.4021
2525.293,3211.1558
2540.148,3207.2837
2555.003,3218.0295
2569.857,3220.9778
2584.712,3221.8240
2599.567,3216.0957
2614.421,3230.7473
2629.276,3226.6211
2644.131,3214.9717
2658.985,3216.4146
2673.840,3221.0181
2688.695,3221.0522
2703.549,3215.4756
2718.404,3215.4998
2733.259,3211.8176
