[sec],Mean
0.000,3222.3689
14.701,3233.0759
29.402,3227.9009
44.103,3225.1526
58.804,3227.2197
73.505,3222.5623
88.206,3220.8796
102.907,3232.8860
117.608,3216.0791
132.309,3227.6887
147.010,3217.8894
161.711,3230.9695
176.412,3215.1936
191.113,3217.9299
205.814,3219.1326
220.515,3225.9863
235.216,3219.9729
249.917,3223.2375
264.618,3225.4651
279.319,3224.8162
294.020,3228.4565
308.721,3238.8003
323.422,3228.4307
338.123,3225.4172
352.824,3230.7615
367.525,3228.8269
382.226,3222.7830
396.927,3243.8782
411.628,3230.4814
426.329,3222.7825
441.030,3221.8767
455.731,3233.7832
470.432,3236.2388
485.133,3228.4402
499.834,3236.1123
514.535,3228.9963
529.236,3239.4626
543.937,3237.4270
558.638,3234.9280
573.339,3222.0339
588.040,3237.1799
602.741,3218.6489
617.442,3241.2139
632.143,3223.9971
646.844,3216.3325
661.545,3228.0962
676.246,3240.5544
690.947,3233.0776
705.648,3232.1833
720.349,3230.6804
735.050,3236.2280
749.751,3218.6448
764.452,3234.0178
779.153,3231.1997
793.854,3230.5601
808.555,3227.1338
823.256,3229.5940
837.957,3236.4788
852.658,3245.1658
867.359,3235.4490
882.060,3234.5442
896.761,3234.2991
911.462,3225.8391
926.163,3230.5593
940.864,3227.8662
955.565,3221.8477
970.266,3251.9216
984.967,3228.6487
999.668,3221.2041
1014.369,3232.6968
1029.070,3238.4607
1043.771,3232.2339
1058.472,3233.4932
1073.173,3236.7561
1087.874,3247.5847
1102.575,3239.0300
1117.276,3224.9631
1131.977,3229.8464
1146.678,3248.5703
1161.379,3237.2202
1176.080,3232.9846
1190.781,3228.4280
1205.482,3239.1567
1220.183,3217.2527
1234.884,3244.3054
1249.585,3217.3264
1264.286,3242.5029
1278.987,3230.4001
1293.688,3226.3721
1308.389,3234.9722
1323.090,3221.7583
1337.791,3243.0339
1352.492,3233.1575
1367.193,3237.3679
1381.894,3231.8838
1396.595,3237.3215
1411.296,3234.7573
1425.997,3230.7622
1440.698,3229.5896
1455.399,3234.8320
1470.100,3231.6799
1484.801,3235.7266
1499.502,3226.0938
1514.203,3242.4714
1528.904,3236.3428
1543.605,3244.4883
1558.306,3235.2029
1573.007,3229.8650
1587.708,3232.9399
1602.409,3234.5178
1617.110,3224.4514
1631.811,3234.9944
1646.512,3220.9526
1661.213,3244.3328
1675.914,3241.0928
1690.615,3229.5435
1705.316,3226.6531
1720.017,3248.0376
1734.718,3237.3193
1749.419,3226.3254
1764.120,3231.8127
1778.821,3226.2163
1793.522,3219.6272
1808.223,3244.5378
1822.924,3235.3450
1837.625,3232.9578
1852.326,3232.1516
1867.027,3245.5586
1881.728,3235.6311
1896.429,3218.3752
1911.130,3238.2971
1925.831,3231.3096
1940.532,3220.1340
1955.233,3238.4187
