[sec],Mean
0.000,3217.8608
14.846,3212.6470
29.692,3214.7029
44.538,3216.2422
59.384,3210.0679
74.230,3218.4873
89.076,3199.1829
103.922,3216.5095
118.768,3217.3635
133.614,3220.3896
148.460,3220.2617
163.306,3212.1377
178.152,3221.9902
192.998,3226.7671
207.844,3215.3870
222.690,3218.1489
237.536,3219.8457
252.382,3219.7439
267.228,3220.5952
282.074,3217.7249
296.920,3231.3469
311.766,3216.2258
326.612,3214.7517
341.458,3222.0315
356.304,3221.1541
371.150,3209.1882
385.996,3213.7261
400.842,3211.3674
415.688,3219.6482
430.534,3218.5693
445.380,3218.8474
460.226,3207.9421
475.072,3215.7393
489.918,3219.2690
504.764,3214.6060
519.610,3211.9741
534.456,3220.9470
549.302,3210.7354
564.148,3216.0247
578.994,3215.7832
593.840,3211.0515
608.686,3210.3450
623.532,3218.4529
638.378,3208.3284
653.224,3228.7585
668.070,3217.9485
682.916,3208.0547
697.762,3207.6746
712.608,3212.9817
727.454,3214.9072
742.300,3208.7129
757.146,3219.2197
771.992,3218.6663
786.838,3213.0002
801.684,3213.2856
816.530,3212.3398
831.376,3214.6143
846.222,3219.4553
861.068,3222.8511
875.914,3213.5994
890.760,3220.1531
905.606,3217.3440
920.452,3221.5020
935.298,3220.9641
950.144,3225.8542
964.990,3212.4995
979.836,3225.9446
994.682,3213.4729
1009.528,3218.1130
1024.374,3208.4939
1039.220,3220.5149
1054.066,3216.5850
1068.912,3222.7454
1083.758,3209.4951
1098.604,3217.7500
1113.450,3218.5781
1128.296,3230.3794
1143.142,3223.9917
1157.988,3221.4451
1172.834,3224.0017
1187.680,3221.4045
1202.526,3220.9958
1217.372,3216.6357
1232.218,3214.0544
1247.064,3216.9651
1261.910,3218.8330
1276.756,3205.7712
1291.602,3222.8872
1306.448,3221.7163
1321.294,3213.2986
1336.140,3210.5664
1350.986,3216.7383
1365.832,3221.7573
1380.678,3208.5056
1395.524,3202.0786
1410.370,3212.1169
1425.216,3200.9692
1440.062,3221.1697
1454.908,3210.4214
1469.754,3225.6609
1484.600,3215.8823
1499.446,3221.9438
1514.292,3214.0808
1529.138,3221.2373
1543.984,3227.2854
1558.830,3206.3816
1573.676,3218.8523
1588.522,3212.9231
1603.368,3226.9668
1618.214,3227.4722
1633.060,3210.9380
1647.906,3216.0847
1662.752,3212.4592
1677.598,3229.1890
1692.444,3218.7351
1707.290,3214.2798
1722.136,3214.4641
1736.982,3211.4775
1751.828,3215.7419
1766.674,3212.8987
1781.520,3214.7654
1796.366,3210.3613
1811.212,3214.4160
1826.058,3216.7219
1840.904,3217.8037
1855.750,3224.5210
1870.596,3223.3687
1885.442,3224.3093
1900.288,3218.7195
1915.134,3216.5959
1929.980,3215.3059
1944.826,3211.3105
1959.672,3214.9001
1974.518,3223.1323
1989.364,3213.7258
2004.210,3224.6106
2019.056,3223.0212
2033.902,3215.4141
2048.748,3221.2295
2063.594,3221.0466
2078.440,3228.4512
2093.286,3219.7480
2108.132,3219.9795
2122.978,3207.3557
2137.824,3225.2798
2152.670,3218.1348
2167.516,3220.8569
2182.362,3211.8633
2197.208,3215.7976
2212.054,3215.2104
2226.900,3225.4294
2241.746,3203.1467
2256.592,3213.4900
2271.438,3218.2002
2286.284,3215.3982
2301.130,3221.4116
2315.976,3222.1577
2330.822,3222.3206
2345.668,3220.2844
2360.514,3229.6855
2375.360,3212.9705
2390.206,3241.2036
2405.052,3218.3022
2419.898,3213.7583
2434.744,3232.4143
2449.590,3216.8499
2464.436,3223.7512
2479.282,3217.7209
2494.128,3215.4600
2508.974,3217.2268
2523.820,3207.4404
2538.666,3204.6892
2553.512,3212.6553
2568.358,3220.6409
2583.204,3213.6189
2598.050,3212.9668
2612.896,3226.3254
2627.742,3221.0093
2642.588,3221.0979
2657.434,3221.4265
2672.280,3214.4629
2687.126,3210.6577
2701.972,3217.2368
2716.818,3219.3555
2731.664,3225.8401
