 ,Value
1,3192.661
2,3201.912
3,3216.006
4,3212.505
5,3207.592
6,3203.783
7,3204.018
8,3220.917
9,3223.745
10,3226.811
11,3236.187
12,3230.232
13,3212.875
14,3195.838
15,3212.080
16,3217.439
17,3217.030
18,3210.838
19,3186.499
20,3254.523
21,3196.742
22,3189.009
23,3182.471
24,3209.697
25,3221.040
26,3223.003
27,3206.850
28,3226.174
29,3204.348
30,3218.670
31,3209.892
32,3221.481
33,3201.644
34,3194.869
35,3192.144
36,3212.014
37,3212.182
38,3238.962
39,3222.712
40,3220.255
41,3229.715
42,3217.658
43,3209.580
44,3234.352
45,3204.587
46,3213.353
47,3217.902
48,3246.890
49,3242.683
50,3200.153
51,3214.458
52,3238.524
53,3222.548
54,3215.143
55,3232.338
56,3223.712
57,3223.308
58,3201.158
59,3214.600
60,3221.845
61,3204.477
62,3204.107
63,3175.910
64,3239.867
65,3203.914
66,3229.503
67,3213.999
68,3232.340
69,3212.691
70,3249.859
71,3230.801
72,3181.420
73,3192.002
74,3192.518
75,3168.645
76,3200.435
77,3210.865
78,3219.685
79,3217.224
80,3214.270
81,3206.127
82,3221.669
83,3221.849
84,3241.800
85,3207.785
86,3201.765
87,3234.363
88,3218.066
89,3216.454
90,3223.114
91,3204.675
92,3214.970
