 ,Value
1,36.209
2,37.211
3,38.847
4,41.115
5,43.762
6,46.337
7,48.754
8,51.289
9,54.330
10,57.481
11,59.899
12,61.935
13,64.697
14,68.150
15,70.975
16,71.841
17,70.852
18,69.766
19,70.218
20,72.440
21,75.112
22,76.888
23,77.496
24,78.213
25,80.295
26,83.545
27,86.832
28,90.221
29,95.145
30,102.344
31,111.498
32,120.462
33,127.018
34,131.204
35,134.769
36,139.114
37,143.655
38,146.242
39,142.905
40,130.678
41,110.188
42,85.945
43,63.776
44,46.592
45,34.385
46,26.353
47,21.560
48,19.054
49,18.187
50,18.494
51,19.732
52,21.765
53,24.480
54,27.813
55,31.742
56,36.260
57,41.554
58,47.684
59,54.454
60,61.382
61,67.576
62,71.972
63,73.838
64,73.757
65,72.984
66,72.382
67,71.515
68,68.913
69,63.894
70,57.317
71,50.458
72,44.345
73,39.536
74,35.928
75,33.392
76,32.045
77,31.810
78,32.216
79,32.425
80,31.942
81,30.608
82,28.778
83,27.416
84,27.116
85,27.448
86,27.815
87,28.147
88,28.409
89,28.596
90,29.007
91,29.635
92,30.186
