 ,Value
1,1268.479
2,1335.379
3,1345.598
4,1341.431
5,1333.819
6,1336.837
7,1321.457
8,1303.727
9,1296.720
10,1292.328
11,1265.228
12,1238.875
13,1218.679
14,1188.153
15,1179.673
16,1171.494
17,1192.435
18,1178.930
19,1161.965
20,1154.108
21,1149.491
22,1145.364
23,1139.263
24,1134.784
25,1120.626
26,1115.217
27,1127.057
28,1115.753
29,1114.204
30,1105.505
31,1094.242
32,1107.386
33,1143.900
34,1216.440
35,1261.259
36,1241.327
37,1165.138
38,1100.845
39,1029.115
40,961.049
41,878.077
42,834.040
43,793.315
44,785.441
45,803.718
46,851.238
47,897.764
48,934.430
49,997.369
50,1052.499
51,1085.620
52,1104.605
53,1117.634
54,1143.011
55,1191.128
56,1275.150
57,1298.371
58,1283.647
59,1233.364
60,1164.876
61,1123.024
62,1075.261
63,1035.391
64,1011.496
65,975.007
66,946.580
67,920.679
68,912.922
69,886.318
70,867.489
71,889.540
72,915.488
73,937.211
74,958.001
75,946.891
76,924.752
77,904.489
78,905.507
79,967.008
80,1046.607
81,1093.593
82,1097.101
83,1085.336
84,1085.786
85,1077.955
86,1074.482
87,1092.129
88,1091.282
89,1109.009
90,1074.725
91,1059.960
92,1045.147
