 ,Value
1,14.636
2,15.364
3,16.363
4,17.414
5,18.491
6,19.598
7,20.723
8,22.245
9,24.187
10,25.974
11,27.365
12,28.350
13,29.108
14,29.824
15,30.529
16,31.172
17,31.614
18,32.124
19,33.015
20,34.380
21,36.225
22,38.360
23,41.269
24,44.631
25,47.492
26,48.935
27,49.067
28,48.791
29,49.936
30,53.215
31,57.750
32,62.196
33,66.513
34,71.350
35,77.208
36,84.854
37,94.618
38,103.929
39,108.859
40,106.694
41,97.498
42,82.746
43,65.429
44,49.357
45,36.379
46,26.713
47,19.862
48,15.210
49,12.281
50,10.618
51,9.850
52,9.924
53,11.047
54,13.327
55,16.866
56,21.493
57,26.464
58,30.619
59,34.136
60,37.821
61,42.428
62,47.633
63,51.953
64,53.883
65,53.633
66,52.367
67,50.622
68,48.517
69,46.665
70,45.912
71,45.815
72,45.054
73,43.036
74,40.533
75,38.406
76,37.015
77,35.642
78,34.080
79,32.892
80,32.296
81,31.989
82,31.571
83,30.720
84,29.306
85,27.435
86,25.280
87,23.256
88,21.708
89,20.638
90,20.098
91,19.837
92,19.801
