 ,Value
1,3239.865
2,3202.150
3,3205.235
4,3221.484
5,3225.546
6,3222.552
7,3231.232
8,3194.154
9,3222.661
10,3231.248
11,3264.551
12,3237.810
13,3246.726
14,3251.326
15,3223.340
16,3232.728
17,3229.701
18,3211.148
19,3230.877
20,3255.757
21,3241.683
22,3236.027
23,3232.605
24,3234.604
25,3219.503
26,3236.518
27,3204.073
28,3229.506
29,3235.987
30,3213.825
31,3237.545
32,3288.622
33,3249.791
34,3232.113
35,3262.073
36,3262.247
37,3267.898
38,3274.242
39,3293.821
40,3296.813
41,3285.139
42,3252.081
43,3228.165
44,3240.095
45,3263.777
46,3230.308
47,3256.624
48,3303.686
49,3278.818
50,3241.715
51,3280.298
52,3264.821
53,3250.918
54,3280.629
55,3278.834
56,3266.445
57,3259.804
58,3275.234
59,3289.417
60,3267.876
61,3227.338
62,3229.422
63,3251.476
64,3220.517
65,3287.824
66,3286.876
67,3267.713
68,3258.691
69,3278.709
70,3301.139
71,3257.190
72,3255.679
73,3229.692
74,3269.020
75,3260.984
76,3256.517
77,3252.626
78,3256.387
79,3202.781
80,3226.922
81,3214.330
82,3264.272
83,3286.147
84,3279.258
85,3272.910
86,3277.071
87,3279.858
88,3301.495
89,3316.760
90,3280.040
91,3259.215
92,3297.758
93,3281.671
94,3279.553
95,3305.992
96,3272.938
97,3294.200
98,3281.040
99,3268.721
100,3313.501
101,3278.416
102,3350.310
103,3317.096
104,3296.143
105,3231.773
106,3234.321
107,3283.442
108,3258.262
109,3244.328
110,3232.591
111,3238.263
112,3254.972
113,3222.340
114,3226.776
115,3275.589
116,3261.592
117,3263.542
118,3237.205
119,3248.136
120,3259.003
121,3201.938
122,3257.039
123,3315.428
124,3299.364
125,3269.647
