 ,Value
1,3679.504
2,3765.311
3,3677.046
4,3664.531
5,3591.052
6,3635.193
7,3646.927
8,3634.518
9,3668.023
10,3663.516
11,3697.962
12,3718.820
13,3740.742
14,3683.332
15,3644.626
16,3640.009
17,3677.552
18,3664.037
19,3610.503
20,3576.128
21,3593.971
22,3597.636
23,3568.303
24,3529.724
25,3561.176
26,3564.174
27,3645.446
28,3668.938
29,3651.681
30,3688.349
31,3609.964
32,3686.664
33,3684.719
34,3693.787
35,3767.590
36,3757.393
37,3753.090
38,3687.555
39,3651.469
40,3613.075
41,3640.210
42,3645.861
43,3704.913
44,3624.929
45,3653.515
46,3601.054
47,3603.377
48,3586.707
49,3622.598
50,3614.531
51,3592.267
52,3591.751
53,3602.753
54,3572.951
55,3558.461
56,3572.399
57,3548.496
58,3546.211
59,3519.440
60,3566.897
61,3566.118
62,3540.597
63,3586.372
64,3580.949
65,3579.747
66,3569.721
67,3546.992
68,3570.364
69,3557.778
70,3579.763
71,3643.656
72,3686.788
73,3657.341
74,3667.048
75,3751.027
76,3642.411
77,3664.973
78,3662.855
79,3662.647
80,3614.862
81,3626.355
82,3607.620
83,3716.696
84,3676.331
85,3629.221
86,3615.509
87,3606.833
88,3577.973
89,3524.848
90,3515.914
91,3519.650
92,3551.775
93,3555.951
94,3612.889
95,3553.327
96,3611.137
97,3663.864
98,3731.252
99,3659.010
100,3653.617
101,3747.690
102,3709.940
103,3707.879
104,3640.391
105,3674.840
106,3679.974
107,3692.861
108,3670.670
109,3677.841
110,3574.207
111,3555.831
112,3567.479
113,3561.767
114,3584.311
115,3630.183
116,3559.673
117,3583.440
118,3546.524
119,3631.902
120,3666.644
121,3541.219
122,3554.377
123,3592.438
124,3501.513
125,3545.893
126,3572.816
127,3504.376
128,3520.242
129,3535.132
130,3541.369
131,3613.756
132,3539.034
133,3597.924
134,3511.271
135,3548.507
136,3581.836
137,3534.277
138,3505.076
139,3536.176
140,3507.621
141,3462.690
142,3501.608
143,3506.446
144,3501.809
145,3543.609
146,3542.946
147,3545.364
148,3570.994
149,3583.045
150,3578.848
151,3535.709
152,3500.329
153,3513.236
154,3623.760
155,3550.038
156,3503.478
157,3516.709
158,3537.528
159,3569.611
160,3578.586
161,3541.583
162,3553.073
163,3570.194
164,3541.807
165,3598.875
166,3584.575
167,3575.794
168,3625.209
169,3588.134
170,3616.187
171,3636.043
172,3650.774
173,3668.517
174,3607.534
175,3577.408
176,3598.502
177,3603.443
178,3573.367
179,3552.469
180,3538.706
181,3528.971
182,3521.227
183,3486.231
184,3429.828
185,3437.846
186,3465.581
187,3449.279
