 ,Value
1,3550.140
2,3474.299
3,3471.633
4,3502.625
5,3456.235
6,3477.622
7,3512.240
8,3549.435
9,3543.610
10,3496.884
11,3522.925
12,3480.731
13,3485.147
14,3467.853
15,3546.561
16,3485.090
17,3491.224
18,3509.708
19,3492.669
20,3434.834
21,3435.334
22,3447.316
23,3453.935
24,3425.340
25,3468.064
26,3480.846
27,3435.579
28,3386.599
29,3369.473
30,3444.539
31,3424.601
32,3427.110
33,3510.440
34,3456.400
35,3440.182
36,3481.332
37,3504.366
38,3488.414
39,3492.972
40,3503.854
41,3434.490
42,3390.369
43,3421.289
44,3445.170
45,3444.193
46,3423.284
47,3446.905
48,3476.737
49,3444.036
50,3424.316
51,3433.801
52,3513.037
53,3467.135
54,3415.307
55,3442.421
56,3409.692
57,3521.143
58,3440.333
59,3403.566
60,3477.372
61,3488.939
62,3505.807
63,3548.668
64,3529.616
65,3531.468
66,3581.511
67,3578.081
68,3503.697
69,3582.250
70,3511.796
71,3510.203
72,3525.386
73,3470.245
74,3494.736
75,3515.133
76,3481.944
