 ,ImageID,Genotype,FlyNum,Temperature,Stage,StageComment,Nucleus,NucleusComment,PosteriorGap,LateralGap,GapMarker,GapComment,BazookaExclusion,BazookaComment,Par1atPosterior,Par1Comment,AnalystName,AnalysisDate,Camera,Objective,TimeInterval,Timepoints,PixelSize,VoxelSize,Wavelength_Ch1,LP_Ch1,Exposure(s)_Ch1,EMGain_Ch1,Wavelength_Ch2,LP_Ch2,Exposure(s)_Ch2,EMGain_Ch2,Wavelength_Ch3,LP_Ch3,Exposure(s)_Ch3,EMGain_Ch3
20,20200929_3 positions DIC13_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,1,25,10B,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
21,20200929_3 positions DIC13_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,1,25,10B,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
22,20200929_3 positions DIC15_Oocyte1,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
23,20200929_3 positions DIC15_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,9,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
24,20200929_3 positions DIC15_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
25,20200929_3 positions DIC17_Oocyte1,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
26,20200929_3 positions DIC17_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,9,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
27,20200929_3 positions DIC17_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
28,20200929_3 positions DIC19_Oocyte1,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,9,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
29,20200929_3 positions DIC19_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
30,20200929_3 positions DIC19_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
31,20200929_3 positions DIC21_Oocyte1,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,3,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
32,20200929_3 positions DIC21_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,3,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
33,20200929_3 positions DIC21_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,3,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
34,20200929_3 positions DIC23_Oocyte1,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,4,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
35,20200929_3 positions DIC23_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,4,25,9,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
36,20200929_3 positions DIC23_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,4,25,10A,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
37,20200929_3 positions DIC25_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,4,25,9,,not visible,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
38,20200929_3 positions DIC25_Oocyte3,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,4,25,10B,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
39,20200928_3 positions DIC2_Oocyte1,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
40,20200928_3 positions DIC2_Oocyte2,w; sqh>UTR::GFP/+ ; GR1>GAL4/UAS>hop-RNAi,2,25,10A,,OK,,Yes,Yes,UTR,,NA,,NA,,Ana Milas,20201019,ZYLA,40X WI,120 sec,1,0.163,0.5,488,30,0.3,300,0,0,0.1,300,0,0,0,0
