 ,Value
1,3254.971
2,3278.501
3,3268.407
4,3287.118
5,3282.410
6,3239.588
7,3265.658
8,3253.037
9,3256.904
10,3268.973
11,3275.761
12,3225.369
13,3278.509
14,3262.216
15,3259.213
16,3273.117
17,3260.843
18,3265.589
19,3269.095
20,3264.091
21,3251.647
22,3258.725
23,3278.873
24,3265.101
25,3299.391
26,3295.306
27,3248.113
28,3252.316
29,3307.205
30,3272.529
31,3329.870
32,3309.508
33,3278.754
34,3269.121
35,3306.075
36,3268.898
37,3279.752
38,3291.895
39,3262.607
40,3300.165
41,3214.230
42,3256.046
43,3279.330
44,3237.363
45,3201.128
