 ,Value
1,3599.418
2,3562.066
3,3562.747
4,3540.703
5,3519.754
6,3516.536
7,3549.862
8,3552.798
9,3526.155
10,3499.610
11,3514.817
12,3484.857
13,3525.707
14,3472.010
15,3514.760
16,3568.699
17,3551.569
18,3496.162
19,3504.449
20,3522.075
21,3533.432
22,3486.394
23,3510.092
24,3523.904
25,3492.887
26,3502.181
27,3502.807
28,3498.212
29,3432.699
30,3415.952
31,3499.903
32,3454.029
33,3392.507
34,3376.669
35,3342.970
36,3394.348
37,3370.793
38,3373.545
39,3358.199
40,3355.170
41,3373.010
42,3428.290
43,3438.679
44,3427.921
45,3382.098
46,3410.673
47,3412.196
48,3444.686
49,3406.836
50,3391.188
51,3456.078
52,3459.403
53,3379.598
54,3437.460
55,3493.875
56,3452.107
57,3379.370
58,3410.298
59,3429.967
60,3421.163
61,3414.597
62,3455.610
63,3448.336
64,3438.898
65,3417.644
66,3363.829
67,3459.249
68,3385.592
69,3399.004
70,3439.996
71,3444.422
72,3459.274
73,3455.542
74,3446.548
75,3427.716
76,3413.864
77,3438.361
78,3444.072
79,3409.548
80,3428.369
81,3453.759
82,3418.721
83,3423.027
84,3450.349
85,3380.772
86,3365.210
87,3398.245
88,3441.519
89,3372.486
90,3396.540
91,3404.837
92,3387.421
93,3423.922
94,3407.738
95,3423.481
96,3445.331
97,3450.869
98,3424.058
99,3415.880
100,3419.945
101,3398.106
102,3404.333
103,3375.944
104,3405.506
105,3444.746
106,3435.382
107,3403.555
108,3445.035
109,3426.992
110,3422.827
111,3403.023
112,3436.633
113,3433.181
114,3415.271
115,3420.116
116,3422.734
117,3446.329
118,3425.137
119,3430.005
120,3422.276
121,3439.046
122,3432.901
123,3465.725
124,3469.811
125,3433.036
126,3463.184
127,3486.495
128,3486.329
129,3521.127
130,3494.645
131,3462.226
132,3498.760
133,3527.269
134,3541.974
135,3527.949
136,3532.946
137,3520.040
138,3487.896
139,3493.141
140,3528.295
141,3512.920
142,3506.156
143,3521.050
144,3525.858
145,3558.829
146,3543.196
147,3520.525
148,3543.560
149,3591.437
150,3572.074
151,3548.774
152,3551.866
153,3579.431
154,3577.226
155,3548.928
156,3546.893
157,3591.767
158,3607.390
159,3557.454
160,3557.727
161,3566.212
162,3589.099
163,3612.371
