Distance_(pixels),Gray_Value
0,21.668
1,24.994
2,26.996
3,28.155
4,30.271
5,34.070
6,38.250
7,39.662
8,38.280
9,36.352
10,34.027
11,31.559
12,29.102
13,27.083
14,26.128
15,26.364
16,26.811
17,27.165
18,28.021
19,29.897
20,33.171
21,37.010
22,39.936
23,41.871
24,44.141
25,47.972
26,51.777
27,53.545
28,51.941
29,48.131
30,42.612
31,36.611
32,32.626
33,30.881
34,29.729
35,28.279
36,27.471
37,28.607
38,31.140
39,36.236
40,46.999
41,64.621
42,87.121
43,111.496
44,140.202
45,182.588
46,254.085
47,376.417
48,563.632
49,784.207
50,907.668
51,879.213
52,761.587
53,645.187
54,543.978
55,470.734
56,424.140
57,387.599
58,363.147
59,342.274
60,321.583
61,310.682
62,302.575
63,284.965
64,262.177
65,253.521
66,262.816
67,272.963
68,264.747
69,245.345
70,223.569
71,208.129
72,204.721
73,214.614
74,227.986
75,231.352
76,221.060
77,206.807
78,199.129
79,200.291
80,203.874
81,201.369
82,192.422
83,182.052
84,176.731
85,173.341
86,165.475
87,156.227
88,150.798
89,144.232
90,140.029
91,139.675
92,144.158
93,152.289
94,158.155
95,158.161
96,159.266
97,164.911
98,175.953
99,189.647
100,199.264
101,195.237
102,174.318
103,152.469
104,141.318
105,143.374
106,155.964
