 ,Value
1,20.127
2,20.265
3,20.431
4,20.618
5,20.814
6,20.977
7,21.101
8,21.022
9,20.691
10,20.427
11,20.466
12,20.974
13,21.674
14,22.506
15,23.135
16,23.512
17,24.123
18,25.460
19,27.480
20,29.918
21,32.536
22,35.167
23,37.998
24,41.247
25,44.512
26,47.633
27,50.056
28,52.110
29,55.014
30,59.623
31,65.926
32,73.576
33,82.338
34,91.893
35,101.092
36,107.964
37,108.809
38,99.990
39,83.490
40,64.140
41,46.153
42,32.078
43,22.184
44,16.078
45,12.692
46,11.121
47,10.827
48,11.574
49,13.329
50,15.883
51,19.017
52,22.397
53,25.919
54,29.445
55,32.659
56,35.105
57,36.633
58,37.315
59,37.718
60,38.203
61,38.813
62,39.012
63,38.803
64,38.624
65,38.728
66,39.570
67,41.121
68,42.976
69,44.757
70,45.606
71,45.355
72,44.245
73,42.866
74,41.703
75,40.882
76,40.120
77,38.961
78,37.553
79,36.110
80,34.706
81,33.088
82,31.659
83,30.354
84,28.886
85,27.297
86,26.100
87,25.441
88,25.096
89,25.020
90,25.254
91,25.513
92,25.596
