 ,Value
1,1.746
2,1.913
3,2.098
4,2.255
5,2.348
6,2.359
7,2.305
8,2.220
9,2.140
10,2.070
11,2.004
12,1.927
13,1.841
14,1.757
15,1.686
16,1.629
17,1.596
18,1.586
19,1.605
20,1.661
21,1.746
22,1.848
23,1.953
24,2.040
25,2.086
26,2.098
27,2.107
28,2.150
29,2.229
30,2.314
31,2.386
32,2.446
33,2.519
34,2.620
35,2.746
36,2.872
37,2.997
38,3.153
39,3.392
40,3.803
41,4.483
42,5.555
43,7.212
44,9.725
45,13.896
46,21.410
47,35.093
48,58.570
49,95.979
50,149.912
51,216.630
52,286.136
53,344.744
54,384.160
55,393.780
56,366.023
57,310.953
58,246.190
59,188.601
60,146.358
61,120.897
62,106.522
63,96.572
64,87.459
65,77.746
66,70.214
67,67.163
68,70.478
69,82.141
70,97.423
71,112.261
72,117.682
73,113.337
74,103.091
75,95.119
76,93.421
77,93.783
78,92.113
79,87.562
80,81.749
81,75.806
82,71.779
83,69.574
84,67.900
85,65.346
86,61.390
87,56.172
88,50.798
89,46.793
90,45.463
91,47.136
92,51.456
