 ,Value
1,623.845
2,633.153
3,629.429
4,620.630
5,621.511
6,629.992
7,627.595
8,633.051
9,644.974
10,655.333
11,660.971
12,670.419
13,683.714
14,665.853
15,652.465
16,626.357
17,611.555
18,580.553
19,574.721
20,590.526
21,593.697
22,610.516
23,632.317
24,635.094
25,643.761
26,639.715
27,638.118
28,624.921
29,602.743
30,570.211
31,551.277
32,541.548
33,525.583
34,517.159
35,521.561
36,524.074
37,541.056
38,584.553
39,628.146
40,640.688
41,637.729
42,599.750
43,556.573
44,508.006
45,473.617
46,449.123
47,437.426
48,443.800
49,454.595
50,477.015
51,501.206
52,531.507
53,574.106
54,598.644
55,608.204
56,604.501
57,606.212
58,584.670
59,589.591
60,599.132
61,604.256
62,592.565
63,581.514
64,573.756
65,573.939
66,564.941
67,571.069
68,576.129
69,579.997
70,572.252
71,577.001
72,575.801
73,569.525
74,554.379
75,551.419
76,548.459
77,547.104
78,554.236
79,565.182
80,584.815
81,590.386
82,593.482
83,578.865
84,560.776
85,543.134
86,535.563
87,529.353
88,541.647
89,558.600
90,569.096
91,572.998
92,565.570
