 ,Value
1,1.044
2,1.100
3,1.182
4,1.278
5,1.368
6,1.434
7,1.472
8,1.488
9,1.502
10,1.539
11,1.608
12,1.697
13,1.785
14,1.870
15,1.908
16,1.843
17,1.674
18,1.479
19,1.326
20,1.226
21,1.158
22,1.098
23,1.036
24,0.977
25,0.935
26,0.911
27,0.907
28,0.934
29,1.000
30,1.100
31,1.225
32,1.358
33,1.479
34,1.582
35,1.663
36,1.717
37,1.759
38,1.810
39,1.877
40,1.962
41,2.083
42,2.247
43,2.474
44,2.775
45,3.204
46,3.800
47,4.658
48,5.887
49,7.556
50,9.843
51,13.139
52,18.003
53,24.627
54,32.180
55,39.692
56,45.403
57,48.363
58,48.155
59,46.191
60,43.613
61,40.891
62,38.893
63,38.384
64,38.685
65,38.446
66,37.386
67,35.407
68,33.364
69,32.196
70,32.445
71,33.783
72,35.616
73,37.521
74,38.837
75,39.135
76,38.691
77,37.756
78,36.862
79,36.666
80,37.292
81,38.478
82,39.840
83,40.747
84,41.161
85,40.719
86,40.204
87,39.767
88,39.431
89,38.875
90,37.255
91,34.704
92,31.857
