 ,Value
1,27.787
2,28.633
3,29.639
4,30.508
5,30.958
6,31.191
7,31.221
8,31.185
9,31.387
10,31.679
11,31.874
12,32.364
13,34.076
14,36.715
15,39.053
16,40.063
17,39.497
18,38.417
19,38.598
20,40.348
21,42.395
22,43.537
23,43.659
24,43.481
25,43.454
26,43.679
27,44.769
28,47.544
29,51.657
30,56.267
31,59.846
32,61.935
33,63.485
34,66.089
35,69.952
36,74.191
37,77.474
38,79.596
39,80.063
40,77.448
41,71.783
42,64.160
43,55.389
44,45.411
45,35.567
46,27.082
47,20.541
48,16.024
49,13.133
50,11.451
51,10.813
52,11.003
53,11.857
54,13.110
55,14.633
56,16.443
57,18.793
58,21.733
59,24.850
60,27.301
61,28.742
62,29.987
63,31.968
64,34.596
65,36.357
66,36.963
67,36.320
68,35.165
69,33.973
70,33.193
71,32.627
72,31.645
73,30.012
74,27.756
75,25.432
76,23.459
77,21.837
78,20.771
79,20.275
80,20.165
81,20.304
82,20.657
83,21.058
84,21.154
85,20.394
86,19.066
87,17.619
88,16.506
89,15.880
90,15.476
91,15.018
92,14.388
