Distance_(pixels),Gray_Value
0,14.9402
1,13.7308
2,13.5991
3,14.2261
4,15.2825
5,16.7656
6,17.8436
7,17.8655
8,17.1112
9,16.6006
10,16.4289
11,16.3115
12,16.3879
13,17.4578
14,20.2281
15,23.9758
16,27.3371
17,28.1369
18,26.7892
19,24.8743
20,23.9245
21,23.8914
22,23.7548
23,23.0135
24,21.7478
25,21.4244
26,21.9207
27,23.0742
28,23.9487
29,24.3081
30,24.2428
31,23.3927
32,21.9696
33,20.2653
34,18.8546
35,18.3269
36,18.6066
37,19.1930
38,19.5152
39,19.4270
40,19.3802
41,20.6147
42,22.4075
43,23.7907
44,24.8558
45,26.9096
46,29.1501
47,30.1698
48,29.8142
49,29.1515
50,27.6050
51,25.7797
52,24.3376
53,24.1739
54,25.0977
55,26.8908
56,28.5501
57,28.9582
58,27.9358
59,25.3272
60,21.3196
61,16.7816
62,12.8082
63,10.0722
64,8.3806
65,7.4102
66,7.0074
67,7.3631
68,8.7493
69,10.9986
70,13.6683
71,16.3798
72,19.1758
73,21.7728
74,24.2095
75,26.2982
76,27.5315
77,27.6189
78,26.8637
79,25.9630
80,24.8771
81,22.8964
82,19.8399
83,16.4074
84,13.4529
85,11.6251
86,10.4149
87,9.2251
88,7.9298
89,6.7704
90,5.8499
91,5.4204
92,5.5209
93,6.1427
94,7.1020
95,8.0774
96,8.6492
97,8.8558
98,9.0194
99,9.5291
100,10.2070
101,10.6902
102,10.8070
103,10.7287
104,10.4630
105,9.9177
106,8.9039
107,7.7299
108,6.7377
109,6.0212
110,5.5529
111,5.3325
112,5.2819
113,5.2585
114,5.3318
115,5.5776
116,5.9899
117,6.3684
118,6.3693
119,5.8303
120,5.1876
121,4.8591
122,5.1242
123,6.0084
124,7.1884
125,7.9690
126,8.2655
127,8.3016
128,8.3125
129,8.4190
130,8.5658
131,8.5274
132,8.1381
133,7.5568
134,7.1593
135,7.2479
136,7.5987
137,7.7691
138,7.6888
139,7.6340
140,7.7158
141,7.9690
142,8.2214
143,8.5297
144,8.7276
