 ,Value
1,2.385
2,2.437
3,2.546
4,2.688
5,2.849
6,3.035
7,3.250
8,3.480
9,3.645
10,3.657
11,3.567
12,3.476
13,3.459
14,3.516
15,3.646
16,3.819
17,3.987
18,4.113
19,4.171
20,4.113
21,3.941
22,3.798
23,3.771
24,3.882
25,4.056
26,4.251
27,4.463
28,4.639
29,4.734
30,4.657
31,4.393
32,4.003
33,3.566
34,3.211
35,3.013
36,2.979
37,3.033
38,3.035
39,2.961
40,2.834
41,2.701
42,2.638
43,2.761
44,3.221
45,4.293
46,6.474
47,10.570
48,18.201
49,31.964
50,57.605
51,105.668
52,189.024
53,324.898
54,505.445
55,707.063
56,875.480
57,969.689
58,957.773
59,846.000
60,708.595
61,588.008
62,489.552
63,389.563
64,299.555
65,228.172
66,178.766
67,146.218
68,123.165
69,108.426
70,101.033
71,98.637
72,98.710
73,100.913
74,108.535
75,125.734
76,151.828
77,180.992
78,203.141
79,211.423
80,204.290
81,187.842
82,169.142
83,149.689
84,130.011
85,110.665
86,95.736
87,87.053
88,85.622
89,91.063
90,100.983
91,111.129
92,117.524
