 ,Value
1,22.565
2,24.426
3,26.480
4,28.370
5,30.200
6,31.965
7,33.688
8,35.427
9,36.763
10,37.380
11,37.493
12,37.681
13,37.697
14,37.602
15,37.698
16,38.557
17,40.015
18,41.875
19,43.734
20,45.078
21,46.027
22,46.983
23,48.570
24,50.871
25,53.235
26,55.275
27,57.685
28,61.891
29,68.331
30,75.346
31,79.980
32,81.247
33,80.964
34,81.148
35,83.693
36,88.617
37,95.392
38,102.297
39,107.916
40,110.554
41,108.931
42,102.869
43,94.422
44,84.693
45,75.159
46,65.881
47,57.418
48,50.119
49,43.967
50,39.892
51,37.902
52,37.403
53,38.476
54,41.675
55,46.395
56,51.157
57,54.945
58,58.251
59,62.473
60,68.433
61,74.847
62,79.610
63,82.467
64,83.584
65,83.623
66,83.842
67,83.704
68,82.308
69,80.380
70,78.955
71,77.615
72,75.452
73,71.356
74,66.376
75,61.794
76,58.084
77,55.034
78,52.406
79,49.810
80,47.492
81,46.094
82,45.900
83,46.630
84,47.533
85,48.131
86,48.213
87,47.981
88,47.897
89,48.362
90,50.224
91,52.982
92,55.426
